,0,1,2,source
3225,i thought we were playing a game,in a forest that day,i ran as my mother chased me,img2poems
3226,over the courses i travel from now on,what's that whisper,just the delicate sweeping away of somebody's life,img2poems
3227,we're dear blood daughters to this every hag and near kin,to any after this of those our mirrors tell us foolishly envy us,presuming us who are young to be beautiful kind and sure,img2poems
3228,blood from a kitchen fresco in thick amber strokes,blood from the baby's right ear from his ochre nose,what blood is this,img2poems
3229,it is blood time sir terminator says,it is blood time sir simpson winks,it is blood time sir mcveigh weighs,img2poems
3230,blood on the wheel blood on the reel,bronze dead gold amp diamond deep,blood be fast,img2poems
3231,amp all the while we found love in unlikely places: in,the ravaged church of our bodies amp our faces,refracted in their long faces,img2poems
3232,amp at three he told me at my age he had red hair amp broke his neck falling off,a runaway horse i know,the rocking chair's set too close to the edge of the porch,img2poems
3233,more than anything,when i speak of,the darkness i mean this living,img2poems
3234,back then we slept watched tv,we were the dogs,by the time the screen door slammed we were gone,img2poems
3235,to move the limbs of the body,to speak intelligible words,these things promise change,img2poems
3236,away so that i could always  hold this concise image,of before  that  time  and it,floods  my memory,img2poems
3237,they eat of me,of small and blemished apples in low fields of me,whose rocky streams and droughts i do not drink,img2poems
3238,like a perfume,that does not choose the direction it travels,that cannot be straight or crooked kept out or kept,img2poems
3239,gauley bridge is a good town for negroes they let us stand around they let us stand,around on the sidewalks if we're black or brown,vanetta's over the trestle and that's our town,img2poems
3240,the hill makes breathing slow slow breathing after your row the river,and the graveyard's on the hill cold in the springtime blow,the graveyard's up on high and the town is down below,img2poems
3241,did you ever bury thirty-five men in a place in back of your house,thirty-five tunnel workers the doctors didn't attend,died in the tunnel camps under rocks everywhere world without end,img2poems
3242,when a man said i feel poorly for any reason any weakness or such,letting up when he couldn't keep going barely,the cap and company come and run him off the job surely,img2poems
3243,when the blast went off the boss would call out come let's go back,when that heavy loaded blast went white come let's go back,telling us hurry hurry into the falling rocks and muck,img2poems
3244,as dark as i am when i came out at morning after the tunnel at night,with a white man nobody could have told which man was white,the dust had covered us both and the dust was white,img2poems
3245,instead i walk around in children's clothes,shorts and a t-shirt with the name of a band,lettered on the front announcing me to nobody,img2poems
3246,like a boardinghouse table,men on one side women on the other,nobody planned it,img2poems
3247,a man and a woman are like those rivers,entering a larger sea,greater than the sum of all its parts,img2poems
3248,in the bathroom crayoned,graffiti,fuck the,img2poems
3249,stand still and silent,pray,return,img2poems
3250,with regards to your husband i am as,ever your loving father,frederick douglass,img2poems
3251,full of light and music the beating air,light like a bird calvino says not a feather,over the water the shags come in to land,img2poems
3252,though once there were many of my kind,flocking inland or perhaps,it felt that way,img2poems
3253,then laughs,it's okay kiddo,long as you're here you're one of us,img2poems
3254,and things: a wishbone ring whatever i crave,the heart-hollows the cannot-do-withouts the whens,and whos the frayed veils between death and here,img2poems
3255,love,a,minor,img2poems
3256,i could make a wardrobe,with tufts of wool,caught on thistle and bracken,img2poems
3257,down in minutes,within the month,an island silted up behind,img2poems
3258,glove over glove let your dance express,what i've been creeping like a vein of sweat,through a vastness of,img2poems
3259,hunger,is like the inside,biting you,img2poems
3260,i don't know when i stopped believing in heaven,or if i do,maybe i just stopped receiving heaven,img2poems
3261,we married in september,everyone was still,wearing their summer shirts sleeves of heaven,img2poems
3262,it was white there was a bend and the car,spun,it was then i prayed pleading with heaven,img2poems
3263,when he goes limp lie him down on the gurney,mom,oxygen mask breathing heaven,img2poems
3264,he loves the colors of planets,i teach him,their lifelessness: beautiful deceiving heaven,img2poems
3265,my drawing teacher said: look think make a mark,look i told myself,and waited to be marked,img2poems
3266,but loss is a precious stone to me a nectar,distilled in time preaching the truth of winter,to the fallen heart that does not cease to fall,img2poems
3267,mother and father,forgive me my absence,i will always be moving quietly toward you,img2poems
3268,the old magic won't work now,but it's nice,to be reminded of it,img2poems
3269,drops her petals,as if she could always,make more,img2poems
3270,we know,what she looks like,naked,img2poems
3271,how the realtor's lens makes everything look larger,and there's so much glare the floor looks wow,under the smartificial xmas tree,img2poems
3272,after studying comparative reality,i began die polyvinylchloride tannenbaumserie,turn off that tiny tasteful star i commanded,img2poems
3273,i know what you mean you said,it's like the time i was compelled to speak,on hedonism to the monks and nuns,img2poems
3274,and tell me what creature what peril,could craft that sound that night,dropped like a nubile sliver in my ear,img2poems
3275,there is no freedom of silence,when morture forces us to speak,from organs other than the heart,img2poems
3276,see how it grows its own cross of fur,and bears it on its back,i showed you that,img2poems
3277,here is a pot of tea,let's share it,slowly like sisters,img2poems
3278,the first track still almost swings,high hat and snare even,a few bars of sax the stratosphere will singe-out soon enough,img2poems
3279,the dark we've only ever imagined now audible thrumming,marbled with static like gristly meat,a chorus of engines churns,img2poems
3280,silence taunts: a dare,everything that disappears,disappears as if returning somewhere,img2poems
3281,we'll be passing through heaven in a split pea shell,emptied of light hard as effusive green,ore the blood corrupts daily within and without,img2poems
3282,carrion flowers,slip,from my hand,img2poems
3283,is bemidji though the blues here around,more the cast of a kestrel's blue-gray crown,than the blue-black of my cousins back home,img2poems
3284,stitches the buttons of his shirt to my skin,the snake hisses,the snake is torn,img2poems
3285,there's always a mother,of some other creature,born to fight for her young,img2poems
3286,in this glacial quiet,nothing moves except,then a flash of eyes amp nerves,img2poems
3287,does he exist in the order of things,how does life begin when does it end,and is that good or evil,img2poems
3288,leading me to inquire,since pathos is out of place,what it is that they are practicing,img2poems
3289,not with delphi not with fangs or cardamom bought,in fez red with spring red with,marathon running cheeks,img2poems
3290,by opening anywhere a drop,and its story reappear,as air turns to water water to air,img2poems
3291,bones are easier to find than flowers,in the desert so i paint these,fine white skulls of cows and horses,img2poems
3292,i know the dark night of the soul,does not need god's eye,as a beggar does not need a hand or a bowl,img2poems
3293,there is nothing that controls our thoughts,more than what we think we see,which we label we,img2poems
3294,while the water still spills and the cat squints at leaves,blown my father wears brahms families lean in on one,for a group shot and the rock remains shattered in a star,img2poems
3295,how's life,do you cough,do you hum to drown out the mice in your mind,img2poems
3296,are you bored with her new body,how's it going with an earthly woman,with no sixth sense,img2poems
3297,he doesn't like the switch-up,what's out there,he wonders in what he'll call ocean for now,img2poems
3298,to his right is an alligator,but the head-ridge has no bone,it's propped up instead by fumes: rich dark and pungent,img2poems
3299,far off men are cradling cracked dolphins,arrows of fire shoot out the blowholes,the wounds bleed silver,img2poems
3300,ii,by the power of the hidden name i-am-that-i-am,and by the dew of desire and blessing the dead will live again,img2poems
3301,iii,i-am is the power of your name in concealment,and one who knows its mystery dwells in eternity's instant,img2poems
3302,bring light to my eyes with your teaching and let not the husks,that surround your hosts obstruct me,may heaven and adam's children judge me with mercy,img2poems
3303,the sky is washed and dark,other eyes have known,and shifted away from my eyes,img2poems
3304,but i've never heard words like this,in the night,with my head on your chest rest,img2poems
3305,and who could fail,to search for you,who sends down food when it is due,img2poems
3306,parched with stubble and the last corn-shocks,unfurlings blood fatigue,deranged by dahlia-nearness,img2poems
3307,drink tasty antidotes,otherwise,you and the werewolf: newlyweds,img2poems
3308,how to go on walking hand in hand,without our bodies on the path,we made for our feet talking talking,img2poems
3309,translate us too rough line by line,into your crystalline,severe design,img2poems
3310,child who once was come forth,what brings us together now,and what do we have to say,img2poems
3311,options,teasing enchantment,how still the riddle lies,img2poems
3312,options,insistent shaft a tighter breathing,the sibyl's many leaves are laurel made for wreathing,img2poems
3313,a point,get even says the horizon,like the sun democratic and unsparing,img2poems
3314,joe schiavone was the veteran who took the job not a bad guy,dr,vineburg did get elected mayor joe worked for him for years,img2poems
3315,all you need's this play of surface,all that you need,all you have,img2poems
3316,god turned to speak to me,god found i wasn't there,at least not over half,img2poems
3317,another they give birth,a third they grow new chins,at a fourth they're lopped,img2poems
3318,i'm inside that brilliant gravity,i think of time i'm in the driver's,nightmare and it shudders by,img2poems
3319,dove knows the rubric,and starts in who,who is next and soon,img2poems
3320,you would allow yourself a message,how to make it low-key,how to keep it to a few lines,img2poems
3321,you lean down into the white heap of black words,you pad out toward the water fountain,into someone's eyeshadowed look the lush backwash of her skirt,img2poems
3322,often have i wished,i had eight pairs of hands to hold them,and another body for the gun,img2poems
3323,the skin of the burnished limb,until the skin is just another piece,of your household furniture,img2poems
3324,it's not too blonde or red,you can grasp,it with your eyes he said the way you wear it,img2poems
3325,the room the sun never touched,the sound of cars dropping you to sleep,your pupils large amp hungry for light,img2poems
3326,wheel me down to the shore,where the lighthouse was abandoned,and the moon tolls in the rafters,img2poems
3327,let me hear the wind paging through the trees,and see the stars flaring out one by one,like the forgotten faces of the dead,img2poems
3328,we're here for the time being i answer to the query,just for a couple of years we said a dozen years back,nothing is more permanent than the temporary,img2poems
3329,when we crossed the water we only brought what we could carry,but there are always boxes that you never do unpack,nothing is more permanent than the temporary,img2poems
3330,and the nearest my father could come to saying what,he made of that was lamely to say he didn't,schumann didn't my father didn't know why,img2poems
3331,death with honor derides death without,realpolitik and offshore accounts,are erased like a thumb drive lost in a fire,img2poems
3332,amp milk,salt,silver liquor of the spirits the winter tuber's pulp,img2poems
3333,buzz aldrin spied a plain from space: twice rhode island-sized,not a glacier but this vast evaporation a place so flat we use its plane,to calibrate the altitude of satellites measure the retreat of polar ice,img2poems
3334,where does life begin and end,in the lamb or the cotton,my pillow is my friend,img2poems
3335,i smell the blood of low-definition attorneys,i smell the blood of low-definition attorneys,i smell the blood of low-definition attorneys,img2poems
3336,do you find the squeak,of boots on snow,excruciating,img2poems
3337,returning as ever,to mother's house,under a salty rain,img2poems
3338,did it ever sit close to the ants and their piles,of dirt from which that body had come,you were a small boy once i suppose,img2poems
3339,to make the tongue so it could work,who shoved inside that mouth,the shit of a hundred thousand worms,img2poems
3340,worked hand in hand with him possessor of,the six great gifts of womanhood from needlework,through chastity to sweet words and gentle speech,img2poems
3341,what names people have,stephen i,yenser,img2poems
3342,or herbert,george herbert,(such embranglement,img2poems
3343,or is it the rebellious the disobedient,whose sisters' brothers died on our side near samarra,without whom our world's better off,img2poems
3344,well my emotional palette is wider now,it includes,colors like i paused,img2poems
3345,you'd wait in the orchard for hours,to watch a deer,break from the shadows,img2poems
3346,three years huang gongwang,worked on his famous handscroll,dwelling in the fuchun mountains,img2poems
3347,honors may go to others,riches may go to others,huang gongwang has one great job to do,img2poems
3348,my ears,why do i only hear such unnatural things,although come to think of it death is completely natural,img2poems
3349,i'm just exasperated,everywhere life-sounds,swarm this our shared pond like mating turtles,img2poems
3350,don't buy a book,don't go to bed early,seek out beige in foodstuffs and landscapes,img2poems
3351,chew gum if you're overwhelmed,you're in this alone,that means there's nobody to stop you,img2poems
3352,what must go through you when we pass them,at a distance those black maws yawning out of the hillside,exhaling the unspeakable,img2poems
3353,can't you feel it now,can't you,can't you,img2poems
3354,between the big buildings,i sat like a flea crouched,in the stopped works of a watch,img2poems
3355,a lavender fog breeds with our children,our girls are dying on the roadsides,their wombs pried open by the scramble that grows inside,img2poems
3356,save us from the lavender fog,it's the ghosts of your dead people,who have never bothered our village before,img2poems
3357,seeing him wave that blood-red bayonet,i reckoned we were glad,to have him on the side,img2poems
3358,it isn't for anything a poem is country,and it needs you to keep walking it and i walk out into it now carrying my friend,and smelling the paddocky wind and feeling the rain cold on my face,img2poems
3359,and while we watch magritte's sky turn el greco,roofs de chirico beneath the plastic clouds,a plane is pasted on a sudden patch of blue,img2poems
3360,pomp lowers his paper for a while to watch,the beauties he's begotten with his ann,these new truths they can hardly wait to teach,img2poems
3361,outside the window clouds are swelling,into growing darkness and there's a man,hard on his knees planting something in the rain,img2poems
3362,just enough rain an hour ago,to give the wispy dry grass some hope,turning it green instantly,img2poems
3363,purples of the mosses turned,some million shades,six million more,img2poems
3364,maybe a genital-faced bivalve to be dashed,with tabasco and eaten whole or to his glory,produce a pearl,img2poems
3365,and when it reached the height of enoch,standing he tore whole tongues,down to their colors,img2poems
3366,without a scar he stood,as the men make their way,into the quaking wood,img2poems
3367,whatever the cost i pay up at the minnow pools,i don't know anything of the misery of these trapped fish,or the failure of the marsh i'm so hidden,img2poems
3368,but death is simple,a place to talk shit,to license grief or barring that to kill it,img2poems
3369,gloved white magician for a sec,he even sees the calla lily's furl,in the gesture of voila,img2poems
3370,i learned about love,she did not mind at all,the silent steady distance i placed between us,img2poems
3371,but the queen came to see only me and i saw her,and my life for a while was dismissed,and so repaired,img2poems
3372,once i lit three twigs and fanned the smoke,from miles away,into the girl who jumbled scales through my spine,img2poems
3373,c: or it reaches the furthest point,the branch turns from us and is for some arc,fully quiet,img2poems
3374,something blasted from a boom box in a music store,something in the ineffable clips of light,disappeared over the river,img2poems
3375,he stood hearing it again,the precise shudder the arrow,sought and returned to flaming,img2poems
3376,as barbara cohen in high school said about politics,it's interesting giving the word four earnest syllables,in-ter-est-ing,img2poems
3377,i'm not so much crusted with parasangs or dipped in leagues as fried in miles of a journey resembling the arc between cleo and asp,the jacuzzi on a timer sank a quarter-hour in froth on a fifty-degree afternoon,there were sight lines to windy breakers heaving palms we floated like epiphytes grown from pond scum flowers of the abyss,img2poems
3378,it's the nickel in my cheap wedding ring that brings on this rash that starts at the corners of my lips,the ring bought at age twenty-one paid for with the tips from buddy's crabs and ribs,which i now paint religiously with clear nail polish on the inner band across the names the ampersand where the graving bit exposed the nickel,img2poems
3379,my library is wreathed in double staircases climbing to a glass dome,i imagine birds trapped at the top a cucucurrucued curricula forming and dissolving figures ad hoc,insofar that these are books that were ernes atom-wise in former eons,img2poems
3380,the abbess of streoneshall caedmon's abbess hilda was announced to her mother in a pregnancy dream: a most valuable jewel delivered from under her garments,she wrote one of the books in this aerie this library wreathed in double staircases lodged also in subdural interfaces,insofar as we're just pre-ceviche pre-cadavers-reinterpreting-flan lynette let's research articles with babies at our feet: on welsh architecture the potato tax coracles,img2poems
3381,listless as in transcending,desire or not rising,to greet it,img2poems
3382,you come to tell me,you're saving money,by cooking for yourself,img2poems
3383,yesterday he said he saw buttercups a type of flower,you go over the tracks first on the other side of the river,and there they are,img2poems
3384,womb/vagina sets are unusual too if genuine,standards are from china they are recycled sheepskin wallets,i was shocked too when i heard this,img2poems
3385,they've made new lingo to go with the genuine penis,they say unicorn i say wasabi,apparently almost everyone gets green horseradish with sushi,img2poems
3386,when i say wasabi near japan it's island,of slow unit dance or remarkable mask,when i say new world it's where the newly suited go,img2poems
3387,it's not like anything gets taken out,unless it's rotten which it probably isn't,because i feel okay and you look alright,img2poems
3388,there's not as much empty space as we thought,in the old blueprints that made donuts,in space the halo the homeric lure,img2poems
3389,the one electron penis and the drone,i've been sick and found all this out because i couldn't,get out of bed and there was a diamond near my head,img2poems
3390,it's the forward going,i'd like to go boldly,i've kept a card of energy,img2poems
3391,wilderness saved from childhood,of this secret one must be silent,so the sun can trust us,img2poems
3392,kids need each other,better they never get,separated entirely,img2poems
3393,well i myself am not myself,and which power of survival i speak,for is not made of houses,img2poems
3394,it is inner luxury of golden figures,that breathe like mountains do,and whose skin is made dusky by stars,img2poems
3395,i have no sense of what this means to you so little,sense of what to make of it myself save one lit glimpse,of how we live and move a more expansive sense in whom,img2poems
3396,got a prayer,if i had two hands,to rub together i wouldn't waste the air,img2poems
3397,find me when,you want,i'll wait,img2poems
3398,and as quietly as the sound of kleenex,being pulled from a box,i sneezed,img2poems
3399,and a rose opened her portals,and the scent ran up an elephant's trunk,or tried to,img2poems
3400,what rises in such a clearing,what stays home,checking and re-checking the egg,img2poems
3401,easy to fix the lens,but nearly impossible to reach it,as far out from us as it has drifted already,img2poems
3402,she came into my view as vivid as,somebody on a screen in a movie seen,elegant in the focus of my eye,img2poems
3403,other people were there wearing pajamas,streaming out of some hideyhole or other,into the way that that was how i saw them,img2poems
3404,i mean of the dancer to the audience,flirtatious and familiar only for you,and entirely impersonal and withheld,img2poems
3405,untouchable and untouched and moving to,the sounds of something else from somewhere else,the music maybe of his madness was it,img2poems
3406,it was as if he skated in solitude,and glided whirling on a lonely tarn,far out away from everything there is,img2poems
3407,to make our list,we bring more and more,money to the table but the list outruns it,img2poems
3408,coinage of the not-yet-wholly,hardened custodians of public,health as health is roughly measured,img2poems
3409,wrote about our parents in the garden,and mindfulness,but first,img2poems
3410,when a body is ripe it falls and rots from the softest spot,only when a child slips and drops off a tree,the tree suddenly learns that it is barren,img2poems
3411,for that is what we are made for for that,we are created,until the dark hours are done,img2poems
3412,and we rise again in the dawn,infinite particles of the divine sun now,worshipped in the pitches of the night,img2poems
3413,the blind man was traveling home with his fate,now thankful for blindness,happy about it,img2poems
3414,there were two kingdoms only,the first of them threw out both him and me,the second we abandoned,img2poems
3415,under a bare sky,i for a long time soaked in the rain of my body,he for a long time rotted in the rain of his,img2poems
3416,every day i go to earn my bread,in the exchange where lies are marketed,hoping my own lies will attract a bid,img2poems
3417,my birth without me,was a blemished offering on the collection plate,a moment of flesh imprisoned in flesh,img2poems
3418,gunshot,if it strikes me in hanoi,it strikes again in prague,img2poems
3419,a little smoke floats up,and my me dies like an eighth-month child,will my me one day be my contemporary,img2poems
3420,where the immemorial and the instant meet opening and distance appear,through the opening: a door crack of light,behind the door a kitchen,img2poems
3421,where the knife rises and falls clouds gather disperse,a lightspeed joining of life and death cut,in two: halves of a sun of slowness,img2poems
3422,little soul,you have wandered,lost a long time,img2poems
3423,the fairy tales warn you,do not go in,you who would eat will be eaten,img2poems
3424,you want to have feet,you want to have eyes,you want to have fears,img2poems
3425,the first man down the ladder neil,spoke words that we remember now,one small step,img2poems
3426,a,taupe,wald,img2poems
3427,as,her,midst,img2poems
3428,my,polk,m'edge,img2poems
3429,those,any,synonyms,img2poems
3430,about,which,atlantic,img2poems
3431,where is that room you woke to,by clock-light at a,m,img2poems
3432,forest,into desert just like that,no time flat considering,img2poems
3433,distraction proves fatal in death,a curtain of butter imprints,in air,img2poems
3434,memory springs like crocuses in bloom,self conscious and,precise,img2poems
3435,he does not see his reflection in the river,the arching of speech,over s as he is becoming,img2poems
3436,curvature of spine as it cracked on a misty morning,a shadow,evades the wall,img2poems
3437,crows pick the last offerings,you are someone else uncle no,more,img2poems
3438,the context of my story changes when you enter,then i am dung,then the everyday waking person,img2poems
3439,knot on my neck the rest would be so easy,i'll pray without a god there is no hell,then slip through petals through petal after petal,img2poems
3440,it was a miracle our ignorance,it was grace,incarnate how we never knew,img2poems
3441,like any penelope my armor is resignation,although i thought i would lift the bow myself,and draw,img2poems
3442,and like the sea,one more machine without a memory,i don't believe that you made me,img2poems
3443,incrementally i stand,in me are eons and the cramp,of endless ancestry,img2poems
3444,sun is in the leaves again,i think i see you in the wind,but then i think i see the wind,img2poems
3445,broken heel covered in wet newspaper and,huddled up next to the highway,all thumbs,img2poems
3446,i saw the shrouds of prisoners,like baptismal gowns,buried outside the cemetery,img2poems
3447,took notes then stuck,awful residue,from a small cut,img2poems
3448,the cuff is frightening,stuffed onto oil,water-stains might fence its ghost in,img2poems
3449,the article of clothing,is only half there it's not full,but when it falls forward it is,img2poems
3450,terrible emptiness of the spread,neckline and little sleeve,half-cooked squares,img2poems
3451,maybe they are floating on water,of paint pool-sized,blue and ridged like foam,img2poems
3452,the cheetah panther jaguar and lynx,conjure images of sphinx,and other trademarked names,img2poems
3453,i tell you this out of principle,that spiraling around a theme,can supercharge a meme,img2poems
3454,he has wings,song is a temporary thing,he wants to own his music,img2poems
3455,being is slightly corrupted,by the thinking that's one-upped it,and will never love again,img2poems
3456,the coin changed hands,identical with a will,to transact,img2poems
3457,in the backyard,once filled the center,of my pale fist,img2poems
3458,her place on the stump,still wears my shadow,like a stain,img2poems
3459,water froths over the boulders,tugs at the boy's footing,almost,img2poems
3460,remember what they deny you won't hurt you,what they spare you you must make shine,so shine shine,img2poems
3461,a horse,released of the traces,forgets the weight of the wagon,img2poems
3462,but he is free to turn : this is the speaking tree,it calls your name,it tells us what we mean,img2poems
3463,as light begins in the elm,pushing the long elm branches into night,a ghost light pressing sky,img2poems
3464,stage props,mumble rigidities,the audience,img2poems
3465,was tun sie gott,what will you do,god when i am dead,img2poems
3466,let us count,into,the darkness,img2poems
3467,vanished those species begone,those tribes those peoples those nations,myrmidon ottoman olmec huron and kush: gone gone and goodbye,img2poems
3468,fling out the hooves of your hands,open your breast pluck out like an aztec,your heart howling its cro-magnon cries that compel to battles of riddance,img2poems
3469,split the boy  his thorax throat,pierce-peel the craw,a jag-crystalled crust  his black scoria slag,img2poems
3470,i followed my heart he shrugs,so matter-of-fact you might not see,behind his words,img2poems
3471,my bird-light gutters,its call had sounded,like dry wood giving up a nail,img2poems
3472,master of students,aquinas,is petrified but says yes,img2poems
3473,listen how,their rhymes sing,the little deaths you live,img2poems
3474,my name is kazim,which means patience,i know how to wait,img2poems
3475,one day after another,perfect,they all fit,img2poems
3476,and as my bridegroom comes and takes me away from you,you all ask me what is wrong and i say it is,that i will never win,img2poems
3477,some days he'd set the aperture the opening,as wide as he could,to ruin the picture to let all the light in,img2poems
3478,how difficult it is to face the white,of nothingness of clarity,we win,img2poems
3479,language escapes me,passion is smoke,i dissolve,img2poems
3480,i am talking to you fool,don't,just sit there stretchin' yo' face,img2poems
3481,the grass rips up the morning snow lights jagged amp yellowish,my aids face is hidden,your rot my epistemology,img2poems
3482,so,crawl up baby come on keep on floatin,sliding' always: for black journeys always in holiness,img2poems
3483,this verse says kabir,is your key to the universe,if you can figure it out,img2poems
3484,did i find says kabir,the beloved that i've become,one with,img2poems
3485,does anyone know,what i'm talking about,says kabir,img2poems
3486,i have often asked myself and never found an answer,whence kindness and gentleness come,i don't know it to this day and now must go myself,img2poems
3487,look just,she high-fives me,it's professor,img2poems
3488,i remember especially,the hen house and the soft,clucking that filled the sunlit yard,img2poems
3489,the coming of electricity half next time amp half this,my five,my unending ache at the absence of you,img2poems
3490,i do not expect that many readers will want to be,masochistic enough to want to read the book in order,from cover to cover,img2poems
3491,and in the dazzling deafening debauch,of bugles sunlight of huzzas and drum,bring glory to the love-drunk folks at home,img2poems
3492,the light autoerotic theatrical with an unbearable listing,stalled in cusp in leonine torpor,is courage artifice,img2poems
3493,leave the hotel without baggage fly,direct to geneva,they await you there,img2poems
3494,possum observed that the local portagoose folk dance,was danced by the same dancers in divers localities,in political welcome,img2poems
3495,any lapse and you tumble back into the brain's forks rick-racking,the minutes for the lock that unclicks the coffining dark the,hooded stranger with papa's voice the makeshift bed,img2poems
3496,sold the damn lot six weeks later,sordellus de godio,quan ben m'albir e mon ric pensamen,img2poems
3497,in meiner heimat,where the dead walked,and the living were made of cardboard,img2poems
3498,and you wept,and flowers bowed their heads,and doves in the silk of their sorrow stumbled,img2poems
3499,i won't be dying after all not now but will go on living dizzily,hereafter in reality half-deaf to reality in the room,perfumed by the fire that our inextinguishable will begins,img2poems
3500,for those who accused their ancestors,of eating salt there were these hands,tracing what was left after the sweat,img2poems
3501,i saw the best minds of my generation destroyed by madness starving hysterical naked,dragging themselves through the negro streets at dawn looking for an angry fix,angelheaded hipsters burning for the ancient heavenly connection to the starry dynamo in the machinery,img2poems
3502,light was on its way,from nothing,to nowhere,img2poems
3503,light was all business,light was full speed,when it got interrupted,img2poems
3504,i find it in a field of feathers pink-crested,a knuckle of bone picked clean by the wind,a pale mohawk mounted on stone,img2poems
3505,a still point byzantine one star,in a galaxy of trillions,i had to find my friends,img2poems
3506,if i hadn't jostled the mosaic,maybe i could stop the picture,buildings of stirred beach glass,img2poems
3507,stars,are the campfires,of exiles,img2poems
3508,language exists,to pull things,close,img2poems
3509,first the factory stood quiet as an asylum,then the annihilating mallee with its red fists of blossoms,and the mountain ash creeping over it like a stain,img2poems
3510,i have no proof but i tell you,there were leadlight windows here once barred,they cast a little striped light on the women,img2poems
3511,londonderry cork galway kildare,as i say the words they are sucked away,to a hemisphere in darkness,img2poems
3512,and it was lucky or as lucky as it would get,there was time and light the hawks and dogs,had not been written yet and were still out of sight,img2poems
3513,am,one-quarter past,distant chimes inform me this,img2poems
3514,daybreak lies chained to a blue wall,from which the stars drop,and lose all meaning,img2poems
3515,crescent moons hover above her,ancient white feathers birdless wingless,lost to their own meaning,img2poems
3516,here the sea curls its granite lip at them and flings a winter,storm like a cough or the seadog drops them at hannibal's,shores where they'll stand stupefied like his elephants,img2poems
3517,darling was his final word,for her,softly in arabic,img2poems
3518,here is the painted world in an actual image,[i have no,theory for the clouds he sees,img2poems
3519,over forty years ago,a tense cunningly moving tale by the hunga,then he moved on and i went close behind,img2poems
3520,without legs,she does as much sitting,as anyone who ever sat on a throne,img2poems
3521,the sun came miss brooks,and we goofed the whole thing,i think,img2poems
3522,there's a flutter of grey through the trees,ah the exquisite curves of her dress as she passes,fleet with her feet on the path where the grass is,img2poems
3523,it was only a flutter of grey,but the vaguest of raiment's impossible chances,has set my heart beating the way of old dances,img2poems
3524,little soul,it is strange,even now it is early,img2poems
3525,thou seemest to my fancy singing here,and gathering flowers as that fair maiden when,she lost the spring and ceres her more dear,img2poems
3526,the clouds part the rain ceases the sun,casts now upon everyone,its ancient shadow,img2poems
3527,what i got was the smell of goneness the smell of screen,doors where moths have spent their wing powder,beating failingly to reach the light,img2poems
3528,i will stand in the open doorway,under the weight of watching trees and moon,and care for it as one of my own,img2poems
3529,i will inhale with words every ear,pressed upon open air,i will not be meek,img2poems
3530,you remind me of the necessity,of having more hope than fear,and of sounding out terrible names,img2poems
3531,i am to cry out loud,like a hungry lamb cry loud,enough to waken wolves in the night,img2poems
3532,ancient branches crack and splinter into dust,large wings snap open in spring,like carpets splayed out over the railing,img2poems
3533,daily in the density there is life,on the edge of the knife that cuts the world,into hemispheres of sense and death,img2poems
3534,tree the breeze combs,white into a final note,her diminuendo poco a poco,img2poems
3535,moon-afro myself,outpaces me,in wonder of her,img2poems
3536,the cracked shell of his translucent skin,buried in rubble now and those teeth,all that remain of terrible and invisible jaws,img2poems
3537,a giant squid finally let itself be captured,in a photograph and the paper nautilus ripple-flashes,scarlet and two kinds of violet when it silvers you near,img2poems
3538,they so liked breast milk,joanne fell asleep amp leaked,the ants woke up made the sweet climb,img2poems
3539,make a pretty cayenne path for,over the once-food-strewn,sill,img2poems
3540,the number of communal legs alone,exceeds the stars,underground,img2poems
3541,a snail sank  grand in puss and rime on three coils (equals,one tea-wheel) white,the wheel brings the bill the bill  bald,img2poems
3542,when they could take no more,when all that you had was given,you lined your grave with paper,img2poems
3543,owl astronaut burgeoning owl is a gift,you give to me give to you,terrible other things happen,img2poems
3544,when my blood seemed uncontrollable ran messy with pulp,down their fingers my cousins finally left the room laughing,closing the basement door behind them,img2poems
3545,when ecstasy approaches why do you resist,what are you afraid of,can you please unbutton your shirt now,img2poems
3546,then the sun wiped its forehead,with long filmy fingers,and beamed afresh,img2poems
3547,although they are shaped like a parachute,thanks to the air pressure beneath them,raindrops  explode on landing,img2poems
3548,sometimes it falls on bare rocks,at others  it raises,large forests of leafing trees,img2poems
3549,back the beam was there something broken,i weather compliant,i rally,img2poems
3550,i'll read entrails,for omens action,figure entrails,img2poems
3551,the gold iron floor lamps,the off-brand running shoes,fila but not really,img2poems
3552,there has never been any life,beyond this circle of firelight,until now if now is no dream but an asia,img2poems
3553,stiffened with silence broke,the private change the public good,to dive into pits of leaves,img2poems
3554,my only child,how,i've betrayed you,img2poems
3555,gold nearly blinding herdsmen and kings,and with its broad warm tongue,a cow licking the afterbirth from the hay,img2poems
3556,my fish fast and loose shoot fish in a kettle,the boys like the girls who like heavy metal,on sabbath on slayer on maiden and venom,img2poems
3557,she asked about my heart,its evasive flight,but can i trust her with its secrets,img2poems
3558,blinded by light or black cloth,so many ways,not to see others suffer,img2poems
3559,four birds outside this afternoon,four distinct calls,in a dispirited late daylight,img2poems
3560,oh and the bored laughter behind the camera,and the impossibility the inconsequence,of any sympathy,img2poems
3561,large moon the deep orange of embers,also the scent,the griefs of others beautiful at a distance,img2poems
3562,in my hands i hold a broom,in my heart,ashes ashes,img2poems
3563,make me a figure,blue little throats,scintillas of the anatomical,img2poems
