,0,1,2,haiku,lang
2839,prying,   at the window . . .,       wind,"prying
   at the window . . .
       wind",en
2841,silhouette. . .,  a shining snow path to,     a pale moon,"silhouette. . .
  a shining snow path to
     a pale moon",en
2843,hillside thunder,barely a rainbow in a plume,of smoke,"hillside thunder
barely a rainbow in a plume
of smoke",en
2845,morning camp,only an ember remains,but it's enough,"morning camp
only an ember remains
but it's enough",en
2847,storm warnings . . .,sunday afternoon by the fire,mail from an old friend,"storm warnings . . .
sunday afternoon by the fire
mail from an old friend",en
2849,leftover summer grass,... horses browse,through crusted snow,"leftover summer grass
... horses browse
through crusted snow",en
2851,old leather saddle,cherry colored and shiny,smells of horse,"old leather saddle
cherry colored and shiny
smells of horse",en
2853,the same moon,shines on us both --,these cold sheets,"the same moon
shines on us both --
these cold sheets",en
2855,last leaves,shaking on a branch,late migrators,"last leaves
shaking on a branch
late migrators",en
2861,Back from the garden :,"lots of beans, zucchini",and a haiku,"Back from the garden :
lots of beans, zucchini
and a haiku",en
2868,greyness –,of the chocolate fish,crunching a bite ... ,"greyness –
of the chocolate fish
crunching a bite ... ",en
2870,retirement home,my mother talks to me,about the one with the gray hair ,"retirement home
my mother talks to me
about the one with the gray hair ",en
2872,under the red trees,from the busty blonde,the perfume ,"under the red trees
from the busty blonde
the perfume ",en
2874,this autumn morning,in the mirror,my father ,"this autumn morning
in the mirror
my father ",en
2882,rooftop firepit,sparks mingle,with the stars ,"rooftop firepit
sparks mingle
with the stars ",en
2883,winter moon,"the cold, clear, clanking",of train cars,"winter moon
the cold, clear, clanking
of train cars",en
2887,Standing silently ,In autumn rain,The old cypress,"Standing silently 
In autumn rain
The old cypress",en
2889,tuning out the news,on the back porch,barn swallows ,"tuning out the news
on the back porch
barn swallows ",en
2892,winter sunlight,on rumpled linen,those slow hands,"winter sunlight
on rumpled linen
those slow hands",en
2896,jasmine,beneath the stars,his blue eyes,"jasmine
beneath the stars
his blue eyes",en
2898,wine sapped moon,the distance beyond,her lover's wife ,"wine sapped moon
the distance beyond
her lover's wife ",en
2899,ferocious storms,wakened by the wet,of a dog tongue,"ferocious storms
wakened by the wet
of a dog tongue",en
2901,winter sun,the slow drip-drip,of an icicle,"winter sun
the slow drip-drip
of an icicle",en
2903,starry night,a million words,unspoken,"starry night
a million words
unspoken",en
2905,the last of the boxes,finally moved out,cloud covered sunset,"the last of the boxes
finally moved out
cloud covered sunset",en
2907,handing off the keys,a chill wind hustles,the end of April,"handing off the keys
a chill wind hustles
the end of April",en
2909,all the birds,unnamed on the fence,spring rain,"all the birds
unnamed on the fence
spring rain",en
2913,labor day,and still,no labor,"labor day
and still
no labor",en
2915,open jalousies,the missing scent,of his cologne ,"open jalousies
the missing scent
of his cologne ",en
2916,wine moon,the heat in the kitchen,so close,"wine moon
the heat in the kitchen
so close",en
2918,sunny afternoon,sand swept,behind the door,"sunny afternoon
sand swept
behind the door",en
2920,middle of the night,on a wicked wind,passing news,"middle of the night
on a wicked wind
passing news",en
2922,morning stillness,a bird song,I've never heard before,"morning stillness
a bird song
I've never heard before",en
2924,sunday sermon,children's voices ,mix with the choir,"sunday sermon
children's voices 
mix with the choir",en
2926,Mother's Day,everytime,she calls,"Mother's Day
everytime
she calls",en
2928,heavy rain,a darkening sky,behind her face,"heavy rain
a darkening sky
behind her face",en
2929,summer storm,the estate sale next door,continues on ,"summer storm
the estate sale next door
continues on ",en
2930,Sunday afternoon,bittersweet chocolate,and swapped addresses,"Sunday afternoon
bittersweet chocolate
and swapped addresses",en
2932,Sunday dusk,a last wine bottle,piled in the trunk,"Sunday dusk
a last wine bottle
piled in the trunk",en
2934,Boston news,a crazy day and yet,that butterfly,"Boston news
a crazy day and yet
that butterfly",en
2936,dockside fight,french fries in a pile,of seagulls,"dockside fight
french fries in a pile
of seagulls",en
2938,habemus papam!,I've always loved,Latino men,"habemus papam!
I've always loved
Latino men",en
2940,internet break,the smell of rain,and boggy earth,"internet break
the smell of rain
and boggy earth",en
2942,shortcut. . .,the railway tracks,still vibrating,"shortcut. . .
the railway tracks
still vibrating",en
2944,past midnight,public television,lights up the room,"past midnight
public television
lights up the room",en
2946,warm drizzle,cinnamon buns,and tea for two,"warm drizzle
cinnamon buns
and tea for two",en
2948,distant thunder,a whiff of,foreign perfume,"distant thunder
a whiff of
foreign perfume",en
2950,autumn morning,dew-drops dripping,from a cane pole,"autumn morning
dew-drops dripping
from a cane pole",en
2952,autumn sun,hidden in the flower bed,mushrooms,"autumn sun
hidden in the flower bed
mushrooms",en
2954,Indian summer,the baby in the back seat,mine for a week,"Indian summer
the baby in the back seat
mine for a week",en
2956,waning moon,my parents visit,comes to an end,"waning moon
my parents visit
comes to an end",en
2958,morning mist,his wallet and keys,missing again,"morning mist
his wallet and keys
missing again",en
2960,making a u-turn,clear in the rear view mirror,autumn afternoon ,"making a u-turn
clear in the rear view mirror
autumn afternoon ",en
2961,graveside service,slipping from Grandma's book,pressed wildflowers,"graveside service
slipping from Grandma's book
pressed wildflowers",en
2963,middle of the night,my fingers tick tick ticking,a hot flash haiku,"middle of the night
my fingers tick tick ticking
a hot flash haiku",en
2965,"hot, humid day",a jazz station plays,cool tunes ,"hot, humid day
a jazz station plays
cool tunes ",en
2966,night watch,the ex boyfriends house,on google earth,"night watch
the ex boyfriends house
on google earth",en
2968,autumn wind,another  leaf flutters,from the pile,"autumn wind
another  leaf flutters
from the pile",en
2970,standing alone,under a double,rainbow,"standing alone
under a double
rainbow",en
2972,summer rain,the missing scent,of cologne,"summer rain
the missing scent
of cologne",en
2974,summer twilight,push mowers stop,for crickets,"summer twilight
push mowers stop
for crickets",en
2976,this sense,when first we met—,blue hyacinth ,"this sense
when first we met—
blue hyacinth ",en
2977,predawn crows,—I argue ,with my therapist,"predawn crows
—I argue 
with my therapist",en
2979,climbing rose,the cut marks,on his wrist,"climbing rose
the cut marks
on his wrist",en
2981,drying shed—,a hint of thyme,in the onions,"drying shed—
a hint of thyme
in the onions",en
2983,long blue tail,of a damselfly,kite festival,"long blue tail
of a damselfly
kite festival",en
2985,sun striking,the hour glass—,spring equinox,"sun striking
the hour glass—
spring equinox",en
2987,the weight,of the muddy river,jerry-can on her head,"the weight
of the muddy river
jerry-can on her head",en
2989,morning fog,in the mangroves,temple gong,"morning fog
in the mangroves
temple gong",en
2991,first rinse of the rice,a wild scurry,of clouds,"first rinse of the rice
a wild scurry
of clouds",en
2993,silent flight,of a raptor,your breath on my neck,"silent flight
of a raptor
your breath on my neck",en
2995,summer sun,each spoonful,a taste of cayenne,"summer sun
each spoonful
a taste of cayenne",en
2997,far side ,of the moon—,that stolen kiss,"far side 
of the moon—
that stolen kiss",en
2999,wood knot,in my pocket—,fog over water,"wood knot
in my pocket—
fog over water",en
3001,a long wooden pier,at the end,a glimmer of light,"a long wooden pier
at the end
a glimmer of light",en
3006,red moon,the calligraphy,of charred trees,"red moon
the calligraphy
of charred trees",en
3008,the bent nail,where garlic hung . . .,winter moon,"the bent nail
where garlic hung . . .
winter moon",en
3010,heat haze,the miles,of boundary fence,"heat haze
the miles
of boundary fence",en
3012,a few notes,from an untuned piano... ,autumn rain,"a few notes
from an untuned piano... 
autumn rain",en
3014,old pond,oil slick rainbows,slip in ,"old pond
oil slick rainbows
slip in ",en
3015,temple looting,another buddha,loses his head,"temple looting
another buddha
loses his head",en
3017,white dawn,a moon crab sinks back,into sand,"white dawn
a moon crab sinks back
into sand",en
3019,winter beach,i throw a stick,for no dog,"winter beach
i throw a stick
for no dog",en
3021,beer garden table,the blurred edges,of many circles,"beer garden table
the blurred edges
of many circles",en
3023,retirement home —,the same pot of coffee ,sitting all day,"retirement home —
the same pot of coffee 
sitting all day",en
3025,Saturday morning drizzle . . .,a driving lesson ,with my dad,"Saturday morning drizzle . . .
a driving lesson 
with my dad",en
3027,after each haiku—,the pencil,a little shorter,"after each haiku—
the pencil
a little shorter",en
3029,cup of tea ---,the moon still,until i sip it,"cup of tea ---
the moon still
until i sip it",en
3031,fresh sawdust,among the birches --,his bent shoulders,"fresh sawdust
among the birches --
his bent shoulders",en
3033,discarding,the tea leaves--,distant thunder,"discarding
the tea leaves--
distant thunder",en
3035,scent of roses --,counting the stars,one by one,"scent of roses --
counting the stars
one by one",en
3037,thunderstorm --,a shadow pauses,at the gate,"thunderstorm --
a shadow pauses
at the gate",en
3339,autumn moon ,the burn of the whiskey ,you left behind,"autumn moon 
the burn of the whiskey 
you left behind",en
3341,in the churchyard,where my father found god ,bruised apples,"in the churchyard
where my father found god 
bruised apples",en
3343,forgetting his voice,my dad’s apology letter ,crackles in the fire,"forgetting his voice
my dad’s apology letter 
crackles in the fire",en
3345,dad's suicide ,a candle burns away,its shadow ,"dad's suicide 
a candle burns away
its shadow ",en
3346,slow dancing --,snowflakes swirl to the sound,of silence,"slow dancing --
snowflakes swirl to the sound
of silence",en
3348,dead of winter,blossoming in the darkness,my breath ,"dead of winter
blossoming in the darkness
my breath ",en
3350,midnight coffee,a spoonful of sugar,stirred into the darkness,"midnight coffee
a spoonful of sugar
stirred into the darkness",en
3352,sleepless night -,in the distance,midnight express,"sleepless night -
in the distance
midnight express",en
3354,visakha moon,smell of incense,from another room ,"visakha moon
smell of incense
from another room ",en
3355,Indian summer-,farmer's,cracked lip,"Indian summer-
farmer's
cracked lip",en
3357,starry night. . .,counting out my pills,for chemo,"starry night. . .
counting out my pills
for chemo",en
3359,gone...,the space between us,filling with wind,"gone...
the space between us
filling with wind",en
3361,ebb tide,giving and taking,a yellow plastic spade,"ebb tide
giving and taking
a yellow plastic spade",en
3363,white light,from shore to shore,even the heron has flown ,"white light
from shore to shore
even the heron has flown ",en
3364,moving in...,a child's growth in inches,under old wallpaper,"moving in...
a child's growth in inches
under old wallpaper",en
3366,the hush of snow,coffee bubbling on grandpa's,pot-bellied stove,"the hush of snow
coffee bubbling on grandpa's
pot-bellied stove",en
3368,a funeral pyre,of autumn leaves,winter moves in,"a funeral pyre
of autumn leaves
winter moves in",en
3370,approaching storm,the last magpie,takes flight,"approaching storm
the last magpie
takes flight",en
3372,shifting light,the grey heron and I,in deep reflection,"shifting light
the grey heron and I
in deep reflection",en
3374,after the rush hour,at the intersection,only rain,"after the rush hour
at the intersection
only rain",en
3376,December morning,the scent of coffee beans,and cinnamon toast,"December morning
the scent of coffee beans
and cinnamon toast",en
3378,boys on the town,which statue will wear,a traffic cone,"boys on the town
which statue will wear
a traffic cone",en
3380,hospice tea...,for a moment Mother,remembers my name,"hospice tea...
for a moment Mother
remembers my name",en
3382,summer love,a sudden blush,on her pallid cheeks,"summer love
a sudden blush
on her pallid cheeks",en
3384,into the silence,the piercing wail,of the night express,"into the silence
the piercing wail
of the night express",en
3386,the racing heart,of a startled deer...,blood moon,"the racing heart
of a startled deer...
blood moon",en
3388,midnight...,the steady rhythm ,of her IV drip,"midnight...
the steady rhythm 
of her IV drip",en
3390,storm warning...,the first rustle,of trembling leaves,"storm warning...
the first rustle
of trembling leaves",en
3392,midsummer night,the scent of woodsmoke,drifting through laughter,"midsummer night
the scent of woodsmoke
drifting through laughter",en
3394,ploughing contest...,the farm horse wearing,a scarecrow's hat,"ploughing contest...
the farm horse wearing
a scarecrow's hat",en
3396,derelict house,but with the morning,sunshine,"derelict house
but with the morning
sunshine",en
3398,shaking sky...,in the wheatfield,a scurry of mice,"shaking sky...
in the wheatfield
a scurry of mice",en
3400,autumn languor,the soft shadows,of dying roses,"autumn languor
the soft shadows
of dying roses",en
3402,summer picnic,my daughter's shadow,wearing daisies,"summer picnic
my daughter's shadow
wearing daisies",en
3406,monsoon...,beyond the rush of sound,the silence of birds ,"monsoon...
beyond the rush of sound
the silence of birds ",en
3407,deep into winter... ,the remembered scent,of lemongrass,"deep into winter... 
the remembered scent
of lemongrass",en
3409,on the far side,of early morning silence,a gathering of crows ,"on the far side
of early morning silence
a gathering of crows ",en
3411,whole day,at the department-store -,house in shopping-cart  ,"whole day
at the department-store -
house in shopping-cart  ",en
3413,storm clouds -,mother searches for,candles,"storm clouds -
mother searches for
candles",en
3415,lavender blooms,next to the violets,in a blue pot,"lavender blooms
next to the violets
in a blue pot",en
3417,stars,a full pool,in the garden,"stars
a full pool
in the garden",en
3420,frigid job site -,the cement mixer,wheezes to life,"frigid job site -
the cement mixer
wheezes to life",en
3422,moonlit ,our cell phones charging,side by side ,"moonlit 
our cell phones charging
side by side ",en
3423,through closed eyelids,lightning strikes,my dream,"through closed eyelids
lightning strikes
my dream",en
3425,from a mirror,pale blue eyes stare knowingly,the snow will deepen,"from a mirror
pale blue eyes stare knowingly
the snow will deepen",en
3427,prairie roads,in ditches full of snowmelt,moons float,"prairie roads
in ditches full of snowmelt
moons float",en
3431,a kitten...,will it too forget,its first snow?,"a kitten...
will it too forget
its first snow?",en
3433,full moon night...,starting the camp fire,with a page of fashion magazine,"full moon night...
starting the camp fire
with a page of fashion magazine",en
3435,a new cellphone...,so many people to talk to,till the battery dies,"a new cellphone...
so many people to talk to
till the battery dies",en
3437,"out of the city,",so many stars,unnamed,"out of the city,
so many stars
unnamed",en
3439,late summer rain --,two kids break the bottles,under the bridge,"late summer rain --
two kids break the bottles
under the bridge",en
3441,acorn falls,the sound of rain,continues,"acorn falls
the sound of rain
continues",en
3443,the moon,in every puddle,the same,"the moon
in every puddle
the same",en
3445,Falling leaves,I already miss you,This winter,"Falling leaves
I already miss you
This winter",en
3447,children voices,from under the grass,concrete bunker,"children voices
from under the grass
concrete bunker",en
3449,white mountains,as quick as it can,train passes by,"white mountains
as quick as it can
train passes by",en
3451,campfire ~,steaming pot,and shoes,"campfire ~
steaming pot
and shoes",en
3453,raking the leaves ~,wind blows,the wrong way,"raking the leaves ~
wind blows
the wrong way",en
3455,hot beach sand...,between my fingers,a cigarette butt,"hot beach sand...
between my fingers
a cigarette butt",en
3457,between the second,and the third line -,short trip to bathroom,"between the second
and the third line -
short trip to bathroom",en
3459,dentist's office -,cracks between tiles,filled with dirt,"dentist's office -
cracks between tiles
filled with dirt",en
3461,after a cold night,a cup of coffee -,"oh, man!","after a cold night
a cup of coffee -
oh, man!",en
3463,Xmas away from home -,B-52 pilot,dressed as Santa,"Xmas away from home -
B-52 pilot
dressed as Santa",en
3465,hedgehog in the fog,looking for apples,under the wrong tree,"hedgehog in the fog
looking for apples
under the wrong tree",en
3467,autumn deepens—,a fish slides down,the cormorant’s throat,"autumn deepens—
a fish slides down
the cormorant’s throat",en
3469,autumn deepens—,a fish slides down,the cormorant’s throat,"autumn deepens—
a fish slides down
the cormorant’s throat",en
3471,milky scent,of the calf’s breath—,morning moon,"milky scent
of the calf’s breath—
morning moon",en
3473,feathers in the fire . . .,a cardinal’s song,between thunderclaps ,"feathers in the fire . . .
a cardinal’s song
between thunderclaps ",en
3474,late frost,warmth of the tea mug,against my cheek,"late frost
warmth of the tea mug
against my cheek",en
3476,library return,her hand's warmth,lingers in the book,"library return
her hand's warmth
lingers in the book",en
3478,cloudless sky,the gleam of fresh lemons,in a blue bowl,"cloudless sky
the gleam of fresh lemons
in a blue bowl",en
3480,rotten apples,we let the storm,pick them,"rotten apples
we let the storm
pick them",en
3482,end of summer,we no longer know,what sleeps in the barn,"end of summer
we no longer know
what sleeps in the barn",en
3484,after the postman --,nothing in the mailbox,except a lizard,"after the postman --
nothing in the mailbox
except a lizard",en
3486,November afternoon,the insistent bell,of an ice cream vendor,"November afternoon
the insistent bell
of an ice cream vendor",en
3488,van gogh's blue irises,"hangs on a wall, with",other gardens,"van gogh's blue irises
hangs on a wall, with
other gardens",en
3490,things come and go <>,raindrops,on the pine,"things come and go <>
raindrops
on the pine",en
3492,my stone Buddha,sits in the dark <>,"snow, snow, snow","my stone Buddha
sits in the dark <>
snow, snow, snow",en
3494,midday heat,under the shade tree,an empty chair,"midday heat
under the shade tree
an empty chair",en
3496,A lull in the storm --,the woodpecker darts,to another tree.,"A lull in the storm --
the woodpecker darts
to another tree.",en
3498,The thyme,has gone to seed --,summer's end.,"The thyme
has gone to seed --
summer's end.",en
3500,cherry petals,flying higher and higher -,storm in my valley,"cherry petals
flying higher and higher -
storm in my valley",en
3502,a cup of tea,and a koan to go -,my cold morning,"a cup of tea
and a koan to go -
my cold morning",en
3504,severe frost -,the sparkling whiteness,of my brown roof,"severe frost -
the sparkling whiteness
of my brown roof",en
3506,autumn deepens -,I wonder what my neighbour,is writing today ?!,"autumn deepens -
I wonder what my neighbour
is writing today ?!",en
3508,voices of autumn -,the patter of raindrops,on my rooftiles,"voices of autumn -
the patter of raindrops
on my rooftiles",en
3510,first cicada -,the hot day seems,even hotter,"first cicada -
the hot day seems
even hotter",en
3512,red poppy dolls,sit alone by the beach -,dead children of Tohoku ,"red poppy dolls
sit alone by the beach -
dead children of Tohoku ",en
3513,politicians play,the same old games -,long rainy season,"politicians play
the same old games -
long rainy season",en
3515,earthquake night -,the stars are as silent,as ever,"earthquake night -
the stars are as silent
as ever",en
3517,table 4 2,- a romance reduced,to numbers,"table 4 2
- a romance reduced
to numbers",en
3519,cold sunshine -,the icicles refuse,to melt,"cold sunshine -
the icicles refuse
to melt",en
3521,cold night -,the deeper levels of dreams,and fears,"cold night -
the deeper levels of dreams
and fears",en
3523,when celsius,and farenheit meet -,cold night,"when celsius
and farenheit meet -
cold night",en
3525,New Year's morning -,I wipe some dirt,from my glasses,"New Year's morning -
I wipe some dirt
from my glasses",en
3527,blizzard -,the heavy weight,of snowflakes,"blizzard -
the heavy weight
of snowflakes",en
3529,menopause -,she even quarrels with,the autumn moon,"menopause -
she even quarrels with
the autumn moon",en
3531,fighting,the summer heat -,no time for poetry,"fighting
the summer heat -
no time for poetry",en
3533,the future,deep in the tea leaves ...,spring growth,"the future
deep in the tea leaves ...
spring growth",en
3535,first firefly -,the moon also shows,his face,"first firefly -
the moon also shows
his face",en
3537,wisteria blossoms . . .,the faint memories,of grandmother's lace ,"wisteria blossoms . . .
the faint memories
of grandmother's lace ",en
3538,daybreak - - ,light and shadow ,on the apricot blossoms,"daybreak - - 
light and shadow 
on the apricot blossoms",en
3540,how black !,dirt on the last patch,of snow,"how black !
dirt on the last patch
of snow",en
3542,rainy day -,I finally finished,the Spring Saijiki,"rainy day -
I finally finished
the Spring Saijiki",en
3544,computer crash ...,I wish I were,this butterfly,"computer crash ...
I wish I were
this butterfly",en
3546,my daily bread,on the empty table ...,spring equinox,"my daily bread
on the empty table ...
spring equinox",en
3548,old plum tree in bossom ...,last year the old owner,died,"old plum tree in bossom ...
last year the old owner
died",en
3550,moonlight,on the temple roof -,and silence,"moonlight
on the temple roof -
and silence",en
3552,autumn equinox -,all the crows celebrating,with grave offerings,"autumn equinox -
all the crows celebrating
with grave offerings",en
3554,the dance of,echoes inside a crypt . . .,winter chill,"the dance of
echoes inside a crypt . . .
winter chill",en
3556,dinner outside ...,the crumbs walk along,the brick wall,"dinner outside ...
the crumbs walk along
the brick wall",en
3558,a tiny world,unfolds and thrives -,summer rain,"a tiny world
unfolds and thrives -
summer rain",en
3560,the backyard,of a poor man's home ...,summer heat,"the backyard
of a poor man's home ...
summer heat",en
3562,more rain -,lavender leans,on the stone Buddha,"more rain -
lavender leans
on the stone Buddha",en
3564,no fireflies ...,moonlight reflects,on camellia leaves,"no fireflies ...
moonlight reflects
on camellia leaves",en
3566,first firefly ...,a quiet night and then,lightning,"first firefly ...
a quiet night and then
lightning",en
3568,powlonia blossoms -,a haiku floating,in the sky,"powlonia blossoms -
a haiku floating
in the sky",en
3570,a centipede,takes its morning walk ...,"aah, my kitchen table","a centipede
takes its morning walk ...
aah, my kitchen table",en
3572,"winter,s end ...",my warm socks,with big holes,"winter,s end ...
my warm socks
with big holes",en
3574,spring sunshine,on the cat's belly ...,mountain hermitage,"spring sunshine
on the cat's belly ...
mountain hermitage",en
3576,late snow ..,a pheasant calls,in the morning mist,"late snow ..
a pheasant calls
in the morning mist",en
3578,Ides of March ...,anyone remembers,the history teacher?,"Ides of March ...
anyone remembers
the history teacher?",en
3580,spring blossoms ...,the old farmer,coughs blood,"spring blossoms ...
the old farmer
coughs blood",en
3582,winter sunset -,half of my Buddha,still in the light,"winter sunset -
half of my Buddha
still in the light",en
3584,remembering you -,the sparkle of the last,icicle,"remembering you -
the sparkle of the last
icicle",en
3586,first sunrise -,a fallen camellia,shines on my path,"first sunrise -
a fallen camellia
shines on my path",en
3588,winter sunshine -,the slow growth of a stone's,shadow,"winter sunshine -
the slow growth of a stone's
shadow",en
3590,autumn equinox ...,the murmur of waves,slowly changes,"autumn equinox ...
the murmur of waves
slowly changes",en
3592,high autumn sky ...,in the world of men,voices of insects,"high autumn sky ...
in the world of men
voices of insects",en
3594,autumn deepens ...,these tiny pink flowers,on my wildest weeds,"autumn deepens ...
these tiny pink flowers
on my wildest weeds",en
3596,in the shade,of the full moon ...,distant fireworks,"in the shade
of the full moon ...
distant fireworks",en
3598,summer heat ...,the cats sleep,on the barbeque,"summer heat ...
the cats sleep
on the barbeque",en
3600,looking for fireflies ...,I almost miss,the dramatic night sky,"looking for fireflies ...
I almost miss
the dramatic night sky",en
3601,meditating,on a rainy day ...,new green tea,"meditating
on a rainy day ...
new green tea",en
3603,morning prayers -,the graves of the ancestors,in deep silence,"morning prayers -
the graves of the ancestors
in deep silence",en
3605,day moon <>,the clock has stopped,ticking,"day moon <>
the clock has stopped
ticking",en
3607,autumn evening -,the lingering warmth,of this old deck chair,"autumn evening -
the lingering warmth
of this old deck chair",en
3611,summer's end -,my cat still high,on the hot tin roof,"summer's end -
my cat still high
on the hot tin roof",en
3613,autumn with alzheimer -,she breaks the bread,.. ... .. carefully,"autumn with alzheimer -
she breaks the bread
.. ... .. carefully",en
3615,globalization -,he serves the sushi fish,on french bread,"globalization -
he serves the sushi fish
on french bread",en
3617,lightning,far away in the sky -,first firefly,"lightning
far away in the sky -
first firefly",en
3619,summer in the temple -,the horns of the dragon,just visible,"summer in the temple -
the horns of the dragon
just visible",en
3621,may rain <>,ever more sparkling,shades of green,"may rain <>
ever more sparkling
shades of green",en
3622,Confucius <>,another long path,to the old pond,"Confucius <>
another long path
to the old pond",en
3624,late spring -,the old kettle,still shines,"late spring -
the old kettle
still shines",en
3626,war in Iraq -,a spider hides,in the cherry blossom,"war in Iraq -
a spider hides
in the cherry blossom",en
3628,blue mountains -,the old tombstone,keeps watch,"blue mountains -
the old tombstone
keeps watch",en
3630,spring storm <>-,the tall pine leans,toward the short,"spring storm <>-
the tall pine leans
toward the short",en
3632,rosebuds in snow -,the softness of his hand,on my shoulder,"rosebuds in snow -
the softness of his hand
on my shoulder",en
3634,spring storm <>,the wind rings our,visitor's bell,"spring storm <>
the wind rings our
visitor's bell",en
3636,mandarin ducks -,a silent pair on,the dinner table,"mandarin ducks -
a silent pair on
the dinner table",en
3638,winter in town --,the stone memorial of the,God of Water,"winter in town --
the stone memorial of the
God of Water",en
3640,winter morning <>,a few dewdrops on,my last rose,"winter morning <>
a few dewdrops on
my last rose",en
3642,winter sunshine -,the many shadows of,a small camellia,"winter sunshine -
the many shadows of
a small camellia",en
3644,wedding anniversary  <>,does he still love me,like the red winter berries ?,"wedding anniversary  <>
does he still love me
like the red winter berries ?",en
3646,cold winter day -,hot tea from Kenya,in my cup,"cold winter day -
hot tea from Kenya
in my cup",en
3648,mountain temple -,a prayer overgrown,with moss,"mountain temple -
a prayer overgrown
with moss",en
3650,autumn deepens  <>,a last sunray,on the pines,"autumn deepens  <>
a last sunray
on the pines",en
3652,misty morning -,a black and white world,behind the graves,"misty morning -
a black and white world
behind the graves",en
3654,doing the dishes -,a tiny soap bubble rises,toward heaven,"doing the dishes -
a tiny soap bubble rises
toward heaven",en
3656,summer sunset <>,your hand heavy,on my knee,"summer sunset <>
your hand heavy
on my knee",en
3658,snow on red leaves <>,so many coincidences,in my life,"snow on red leaves <>
so many coincidences
in my life",en
3660,the dragon <>,now a cloud,in my sky,"the dragon <>
now a cloud
in my sky",en
3664,autumn deepens <>,memories fade into,misty clouds,"autumn deepens <>
memories fade into
misty clouds",en
3666,autumn deepens <>,the crows chatter muffled,by thick fog,"autumn deepens <>
the crows chatter muffled
by thick fog",en
3668,just staring,at some autumn clouds <>,a hot cup of tea,"just staring
at some autumn clouds <>
a hot cup of tea",en
3670,lunchtime <>,a dead cicada,surrounded by ants,"lunchtime <>
a dead cicada
surrounded by ants",en
3672,fragrant daphne <>,the money collector stops,before he knocks,"fragrant daphne <>
the money collector stops
before he knocks",en
3674,hailstorm <>,under the groaning roof,I hold my breath,"hailstorm <>
under the groaning roof
I hold my breath",en
3676,an old temple,amongst cedar trees,too many leaves fallen...,"an old temple
amongst cedar trees
too many leaves fallen...",en
3678,forgetting my words,step by step,the autumn night deepens,"forgetting my words
step by step
the autumn night deepens",en
3680,a mosquito,aiming noisily <>,the sound of one hand,"a mosquito
aiming noisily <>
the sound of one hand",en
3682,watching summer clouds,thoughts shaping and,reshaping,"watching summer clouds
thoughts shaping and
reshaping",en
3684,fine shell new moon,onto cherry pink horizon...,shades of easter egg,"fine shell new moon
onto cherry pink horizon...
shades of easter egg",en
3686,alzheimer’s,white white white,snow falls,"alzheimer’s
white white white
snow falls",en
3688,Pomegranate jam,the wild smell,of autumn,"Pomegranate jam
the wild smell
of autumn",en
3692,corner of dark street,shadow of ,ice cream truck,"corner of dark street
shadow of 
ice cream truck",en
3694,highway drive,crescent moon fading,into dark,"highway drive
crescent moon fading
into dark",en
3696,summer morning,kiss bridges the gap ,between iron bars ,"summer morning
kiss bridges the gap 
between iron bars ",en
3697,in the mirror,the stranger coughs,morning fog,"in the mirror
the stranger coughs
morning fog",en
3699,after midnight,squashed roach,still moving,"after midnight
squashed roach
still moving",en
3701,familiar names-,the warmth of a woodstove,in January,"familiar names-
the warmth of a woodstove
in January",en
3703,childhood scrapbook,the life expectancy,of Scotch tape ,"childhood scrapbook
the life expectancy
of Scotch tape ",en
3704,frost moon,I tell my daughter,the truth,"frost moon
I tell my daughter
the truth",en
3706,restless night,the morning starts,without me,"restless night
the morning starts
without me",en
3708,black friday,two crows tear,at a plastic bag,"black friday
two crows tear
at a plastic bag",en
3710,tan lines,and coconut oil,high tide,"tan lines
and coconut oil
high tide",en
3712,antique store window,looking at dirty street snow,through colored bottles,"antique store window
looking at dirty street snow
through colored bottles",en
3713,cold attic -,faded cigar box,filled with seashells,"cold attic -
faded cigar box
filled with seashells",en
3715,windless day,the prolific weeds,at the grave site,"windless day
the prolific weeds
at the grave site",en
3717,egret stands,"in the blue rice field,",dusk creeps in,"egret stands
in the blue rice field,
dusk creeps in",en
3719,long centipede,on the ceiling- long talks,of what to do,"long centipede
on the ceiling- long talks
of what to do",en
3721,white clouds drift,"in the August sky,",a child dreams,"white clouds drift
in the August sky,
a child dreams",en
3723,Eating alone --,The sound of cold milk,Into a glass.,"Eating alone --
The sound of cold milk
Into a glass.",en
3725,a dragonfly,on a dragonfly,summer heat,"a dragonfly
on a dragonfly
summer heat",en
3727,tying a knot,in the grass blade,midsummer,"tying a knot
in the grass blade
midsummer",en
3729,a dead key,on the grand piano,winter darkness,"a dead key
on the grand piano
winter darkness",en
3731,old sandbox,the weeds,all grown up,"old sandbox
the weeds
all grown up",en
3733,bright and full,above the fields,coyote song ,"bright and full
above the fields
coyote song ",en
3734,beer bottles,clink in the cooler,summer solstice,"beer bottles
clink in the cooler
summer solstice",en
3736,watching the deer,watch me,morning moon,"watching the deer
watch me
morning moon",en
3738,blossom rain...,the way she laughs,at all my jokes ,"blossom rain...
the way she laughs
at all my jokes ",en
3739,the moon,almost empty,winter rain,"the moon
almost empty
winter rain",en
3741,the scarecrow,covered in crows,widow's farm,"the scarecrow
covered in crows
widow's farm",en
3743,misted air ,mother stirs autumn,into jam,"misted air 
mother stirs autumn
into jam",en
