,0,1,2,source
1238,""" he Cried, and",ate all he could,swallow--and more.,gutenberg
1239,He took sinewy lumps,"from the shins of old frumps, And mangled",the errand-boys--when he could get 'em.,gutenberg
1240,"He shammed furious rabies, and","bit all the babies , And followed the cats","up the trees, and then ate' em!",gutenberg
1241,"When the blood-red sun had gone burning down, And the","lights were lit in the little town, Outside, in the gloom of the twilight","grey, The little dog died when he'd had his day.",gutenberg
1242,"""Unstumbling, unreluctant, strong, unknowing,","Borne by a will not his, that lifts, that grows, Sweeps out to darkness, triumphing","in his goal, Out of the fire, out of the little room.",gutenberg
1243,-- There is an,"end appointed, O",my soul!,gutenberg
1244,I do not,,understand.,gutenberg
1245,"I only know That, as he turned to go And","waved his hand, In his young eyes a sudden glory shone, And I was",dazzled by a sunset glow -- And he was gone.,gutenberg
1246,"""If I should die, think only",this of me: That there's some corner of a foreign,field That is for ever England.,gutenberg
1247,"In alien earth, across","a troubled sea, His body lies",that was so fair and young.,gutenberg
1248,"His mouth is stopped, with","half his songs unsung; His arm is still,",that struck to make men free.,gutenberg
1249,But let no cloud of,"lamentation be Where, on a","warrior's grave, a lyre is hung.",gutenberg
1250,We keep the echoes of,"his golden tongue, We keep the vision",of his chivalry.,gutenberg
1251,"So Israel's joy, the","loveliest of kings, Smote now his harp,",and now the hostile horde.,gutenberg
1252,To-day the starry roof of Heaven rings With psalms,a soldier made to praise his Lord; And David rests beneath Eternal,"wings, Song on his lips, and in his hand a sword.",gutenberg
1253,"Then, recollecting,","laughingly you turn, And look into",my eyes and take my hand.,gutenberg
1254,Out of the primal dark He,"leapt, like lyric lark, Singing his aubade",strain; Then fell to earth again.,gutenberg
1255,"We garner all he gave, And","on his hero grave, For love and honour","strew, Rosemary, myrtle, rue.",gutenberg
1256,"Son of the Morning, we Had kept",you thankfully; But yours the asphodel:,"Hail, singer, and farewell!",gutenberg
1257,What lineage,"so noble as from Sires, Laureled",by Freedom?,gutenberg
1258,"For, who, but",the brave Have glory,to transmit?,gutenberg
1259,The Hero's,grave Blooms,ever.,gutenberg
1260,"Those crowns, not cold from death sweat on the","brow, At sight of apparitions with fixed stare, But warm with summer,",conjuring beauties rare-- Wilt not.,gutenberg
1261,They are dewed daily,"by your vow, Daughters of sires who,","to no thrall, would bow!",gutenberg
1262,"Which, at the alter with raised hands, ye","swear, Cheering the blessed spirits, gathered there, That,","like their Mothers, are their daughters now.",gutenberg
1263,"True women--and therefore, craft foilers clever--","With sons for your hearts utterance, ye sue Not, but like Barry","to the British crew, Ye cry out: ""What!",gutenberg
1264,we strike,our colors?,,gutenberg
1265,"these colors, since they drew","Their first star-breath, are God's, and",God's forever.,gutenberg
1266,""" Ye know the",Leopard changes not,his spots.,gutenberg
1267,"The Prince of Peace, who","spake eternal truth, Confirmed",this fact of Nature.,gutenberg
1268,"Oh, yea, this beast makes his own desert, still; And Ireland,","India and Egypt show His spots so spread, he is one ghastly","glow; Aye, as your sires saw him from Bunker Hill.",gutenberg
1269,"Oh, vain, gold",rubs the skin and,"press shouts, ""Lo!",gutenberg
1270,It has not,now one spot of threatening,ill.,gutenberg
1271,""" O Daughters of the brave,",well ye abjure The fiend,and all his works.,gutenberg
1272,"O Mothers, as you lift your babes and gaze Into","their eyes, your love runs through their vains In crimson flushes--oh, your love",that pains At any of God's creatures hurt!,gutenberg
1273,that stays; The heavens may pass,"away, but that remains, Being of","Christ, who walks earth Mother-ways.",gutenberg
1274,"Oh, like your sires, you,","too, know Freedom's worth To",Human Spirit.,gutenberg
1275,"For its liberation, A","God unrealmed himself by tribulation, And",was an out-cast on a scornful earth.,gutenberg
1276,"Christ is no myth and, since with Human birth He forms new",Heavens for blissful habitation-- There unto is the Freedom of the,Nation; All other trend is down to dark and dearth.,gutenberg
1277,When from the darkness rainbowed birth,"comes pouring, Your virtue heeds the voice,","Eternity-- Re-echos: ""Let them come.",gutenberg
1278,""" 'Tis Nature's plea For broadening progress;","Nay, 'tis God imploring The Human to take strength for","Liberty, Truth, Honor, to catch up to the stars, a-soaring.",gutenberg
1279,O Daughters,"of brave sires, what is",true glory?,gutenberg
1280,No marsh-ward falling,"star, however",bright.,gutenberg
1281,'Tis inspirational; its upward,"flight Lifts generations--such your Father's story, And also","yours, for is not that, too, gory?",gutenberg
1282,You pour out your hearts blood in sons to,"fight For honor, and cease not till every right",Has been set down in Triumph's inventory.,gutenberg
1283,"Oh, into daughters,","too, old noble",Mothers!,gutenberg
1284,If Christ's foreshadowing in Juda's haze,"Was of his grief, 'tis of His triumph, here, For, is not His",celestrial glory clear In Freedom for all men?,gutenberg
1285,"First, gaseous rays In Maryland, then rounded firm","full blaze In the Republic, it draws every sphere Of Human welfare, whether","far or near, From depths occult to nights with dawns and days.",gutenberg
1286,"Oh, ever Mothers--shaping","robust youth No less than infant,",and as perfectly!,gutenberg
1287,There's life blood to their veins from when,"on knee To when thy battle, from your broadening",ruth For Human kind and fervent love of truth.,gutenberg
1288,"If, like their fathers, they have come to","be The wonder of the world, for liberty, Your virtue,","'tis, that in their valor greweth.",gutenberg
1289,"Oh, as the Roman Mother, when she showed","For jewels, her two sons, saw each of them In Time's Tiara,","glittering there a gem; So, see your offspring shine.",gutenberg
1290,"The light, bestowed Your Fathers,","in your sons is diamond flame, Encircling",Freedom's ocean-walled abode.,gutenberg
1291,"Soar thou aloft, though","thou ascend alone, O",Human Spirit!,gutenberg
1292,Thou,canst not,be lost.,gutenberg
1293,"What though yon stars, the azure's","nightly frost Melt dark, or mount round",thee an arctic zone!,gutenberg
1294,Thou hast sun-warmth,and star-source of,thine own.,gutenberg
1295,"If thou mount not,",how bitter is,the cost!,gutenberg
1296,"What anguish, when whirled down, or","tempest tossed, To know how high toward",God thou mightst have flown!,gutenberg
1297,Vault,"Godward,",Poet.,gutenberg
1298,What though few may,climb The mountain and the star,on trail of thee?,gutenberg
1299,"Thy wing-flash beams toward Man, and, if it be","True inspiration--whether thought sublime, Or fervor for the Truth, or",Liberty-- Thy light will reach the earth in goodly time.,gutenberg
1300,On them,He breathes with,"dream And, Lo!",gutenberg
1301,an Angel with a sword,agleam 'Twix the Old World and New,for Justice's sake.,gutenberg
1302,What sea so,"broad, as that from",Human weeping?,gutenberg
1303,"Or Sun so flaming,",as the Angel's sword Of Human and Devine,Wills in accord?,gutenberg
1304,"There, with sword-flash of myriad waves,","joy-leaping, Shall loom forever, Freedom's watch and ward, With the",New World in his Seraphic keeping.,gutenberg
1305,This is thy,"glory, Man, that",thou art free.,gutenberg
1306,"'Tis in thy freedom,",thy resemblance lies To,thy Creator.,gutenberg
1307,"Nature, which, tide-wise,","Is flood and ebb, bounds",not sky flight for thee.,gutenberg
1308,"as the sun arises from the sea, Startling","all beauty God-ward, thou dost rise With mind to God in heaven, from finite","ties, And there, in freedom, thou art great as He.",gutenberg
1309,"Meeting thy God with mind, 'tis thine to choose, Wheather to","follow him with love and soar, Or dream Him myth and, rather than adore,",Plunge headlong into Nature's whirl and ooze.,gutenberg
1310,Thine,is full,freedom.,gutenberg
1311,could God do more,"To liken thee to Him,","and love, infuse?",gutenberg
1312,God loves the stars; else,why star-shape the dew For the,"unbreathing, shy, heart-hiding rose?",gutenberg
1313,"And when earth darkens,","and the North wind blows, Why into stars,",flake every cloud's black brew?,gutenberg
1314,"What fitter forms for longings high and true, Man's","hopes, ideals, than bright orbs like those Asbine from Nature's dawn to Nature's","close, In clusters, prisming every dazzling hue?",gutenberg
1315,I hear thy far,"off cry where thou art lone, A","John the Baptist: ""Lo!",gutenberg
1316,one,greater,nears.,gutenberg
1317,""" What is this Greater--this which",is to meet The planets and ascend,"high, high and higher?",gutenberg
1318,"The right of human spirit to aspire And mount,","unhampered--and by act, complete Creations harmony, as by","desire, Proclaimed by brain with throb, by heart with beat.",gutenberg
1319,"In thy descent through azures, all","aglow With circling spheres, the beauty of each","blaze, And grandeur, then, of all, entrance thy gaze.",gutenberg
1320,"Thou thinkest,",why not thus all,life below?,gutenberg
1321,"Perceiving, then that all the breezes blow Upward","and onward, in the skyey maze, Thou wouldst go back and start with them, to",raise A new creation from chaotic throe.,gutenberg
1322,fain we follow thee in,flight From chaos to God's glory,"round and round, Aloft!",gutenberg
1323,"how like an elk pursued by hound, To brinks","thou springest toward the distant height And, on bent knees, then","speedest without sound, Like Faith through Death, till, lo!",gutenberg
1324,thou,dost,alight.,gutenberg
1325,"""Ye Wreaches, who would lay proud England's","head Upon the block, and raise her features, then, Bloodless","and ghastly, for the scorn of men!",gutenberg
1326,Go where terrors,spread Their sea and forest,mouths to crush you dead.,gutenberg
1327,"Oh, how the clouds shall crimson from each glen,","A roar with blaze, and flame search out each fen, If back","to us, yea e'er are vomited.",gutenberg
1328,""" To this Parental blessing and God-speed, The Pilgrim","Fathers gladly made reply: ""These waves are Conscience's wings along","the sky; They carry us to God, whose call we heed.",gutenberg
1329,The further from thy,"coast of hate and lie,",The nearer God.,gutenberg
1330,--that is,our,creed.,gutenberg
1331,""" O Sun",and,Stars!,gutenberg
1332,bear ye,Earth's thanks to God;,For Oh!,gutenberg
1333,"what waters, slaking every thirst","Of heart, mind, spirit, in long cascades burst From","Plymouth Rock, when struck by Freedom's rod!",gutenberg
1334,No wanderer in the,"burning sand, unshod, Plods man with lolling","tongue, dog-like, as erst; For lo!",gutenberg
1335,"this fountain, deepening","from the first, Floods Earth's old wells",and greens Life's sand to sod.,gutenberg
1336,"Oh, more those waters than the","Font of Youth, For which, through field and","swamp, the Spaniard ran!",gutenberg
1337,For they are clear with God's,"eternal truth Of fatherhood, hence","brotherhood of man, And are no dream.",gutenberg
1338,They quench all human,drouth And cleanse man's desert dust of,sect and clan.,gutenberg
1339,"Of Expeditions in the Arctic Past,",All honor to the one that reached the pole And formed a settlement,where every soul Enjoyed full freedom.,gutenberg
1340,There above the,"blast, How musical the","bell, by Justice cast!",gutenberg
1341,It welcomed,all to come.,,gutenberg
1342,It ceased to,"toll After a while,",but why?,gutenberg
1343,"Those, welcomed, stole",And dragged it where the,ice formed thick and fast.,gutenberg
1344,Of Arctic Expeditions there is none,So profitable to the human race As that toward,"Freedom's pole, and hence men face All storms to reach it.",gutenberg
1345,"If they fail, the sun Has but one","joy--to thaw out wrecks, and trace Man's progress",where alone it can be done.,gutenberg
1346,"Say, what",is Ma-jest-y without,externals?,gutenberg
1347,Is Burke's,analysis,"not right--""A Jest""?",gutenberg
1348,"Ah, but a jest, at which","the poor, oft pressed To their last heart-drop,","laugh not, like court journals.",gutenberg
1349,blares the tyrant's,"horn and, in a thrice,",The Tories gather.,gutenberg
1350,"Eagerly they band,",For is the King not greater,than the land?,gutenberg
1351,And rows with,"royalty, a",rabble's vice?,gutenberg
1352,"Besides, what creeping tribes","at his command, And Spies and Hessians",at a ferret's price!,gutenberg
1353,shouts,Freedom to,her sons.,gutenberg
1354,"How, like Job's war-horse,",they gulp down the,ground To battle!,gutenberg
1355,What care they,how foes,surround?,gutenberg
1356,"Oh, joy","to Celts, nigh half the true",and bold!,gutenberg
1357,"There, with the roar of all their wrongs uprolled From ancient","depths, they dash with billow-bound Up rock and summit, and through cave and mound,",Spurning both Tyrants' steel and Treason's gold.,gutenberg
1358,No tide are,they to ebb in,heart and spirit.,gutenberg
1359,"The wounded Sidney, who despite his","thirst, Gave water to his comrade, shines, a lamp In",the Cimerian dark of Britain's camp.,gutenberg
1360,"Even the Raleigh, who so finely","versed, Preferred to such a light, the flame accursed Of","sword and torch, to please a royal vamp.",gutenberg
1361,Is British triumph,"in its world-wide tramp The Hell, still ""lower","than lowest""--Milton's worst?",gutenberg
1362,is British soldiery,"the swine, In whose gross forms the fiends,","exercised, flew?",gutenberg
1363,"watch them through the ages,",they pursue The noble and devour,all things Divine.,gutenberg
1364,"they illustrate horrors,","which prove true The Hell, which Milton's",glimpse could not outline.,gutenberg
1365,"Freedom glares and pallid as a ghost,","Except for gashes on her brow and breast, And faint","from hunger, sits awhile to rest.",gutenberg
1366,With France and Erin heartening,"Washington, Prone Freedom rose, with head",above the cloud.,gutenberg
1367,Beholding,"her transfigured, Thrall",is cowed.,gutenberg
1368,His minions,are,bewildered.,gutenberg
1369,,How,they run!,gutenberg
1370,Some follow him,against the rising sun;,Others plod north.,gutenberg
1371,The Torries' vaster crowd Hide,"in dark places, and like Satan, proud, They","hate the glory, that the true have won.",gutenberg
1372,Thou,beheldest,them.,gutenberg
1373,Who loosed our,land from Britain's,numbing hold?,gutenberg
1374,"""They who had naught to loose,"" the Tories","say; That is--not menials in the King's sure pay, Nor mongrels,",chained to guard their master's gold.,gutenberg
1375,They,were True,Men.,gutenberg
1376,"Their spirit, young and bold, With dreams played follow-master,","climbing day From deepest night, to catch the Sun and stay His","glory for the World, then whiteing cold.",gutenberg
1377,Though darkness be far vaster,"than the lamp, It is the beams that lead","to progress, count.",gutenberg
1378,"""To manhood, with the virtues to","surmount Such darknesses as Valley Forge's camp, And seas,","deep hell's sky-reaching, broadening fount, Honor!",gutenberg
1379,""" The ages",shout on Triumph's,tramp.,gutenberg
1380,"When hurled from heaven,","'tis thought, the fiends of pride Caught",Earth to brake their fall.,gutenberg
1381,The regions gave And,sank with all the hosts,beneath the wave!,gutenberg
1382,'Tis in those sunken regions which divide The new,"world of the resolute and brave, From the old world of king and abject","slave, Where Torries, counterfeiting Satan, hide.",gutenberg
1383,Old,Guard of,Boston!,gutenberg
1384,Halt;,Right Face;,Attention!,gutenberg
1385,Order One: quell the weeds,in rankest riot Where lies Elisha,"Brown, in conscience, quiet.",gutenberg
1386,This Brown was,John's,precursor.,gutenberg
1387,"Ye, on pension","For ancient glory,",now do duty.,gutenberg
1388,Mention Elisha's,name for countersign--and,"why, it?",gutenberg
1389,"Because with him, wrong, seen,","was to defy it, And act, else, was",beyond his comprehension.,gutenberg
1390,What is it that today we celebrate,"With school recital, banquet and parade Of our","achievements, pageanting each trade?",gutenberg
1391,If not un-Englishing America in,"mind And heart forever, vain the shrieks Of Freedom,",eagling back to dawn's first streaks.,gutenberg
1392,"Oh, yea, the sun stands, and the night afar","Holds Thrall, whose craft would swamp our noblest peaks And leave",but bubbling mud show where they are!,gutenberg
1393,Glory flings his arms,round thee And proudly holds thee,in his high caress.,gutenberg
1394,"What charms him, Mother,",is thy nobleness Of,spirit.,gutenberg
1395,""" In",thee I,glory.,gutenberg
1396,"Can the world else boast A harbor, like thy","heart, for every sail In flight from sea-toss, white with horror's","gale, Or icebergs from despondence Polar coast?",gutenberg
1397,"Oh, fleets whose throngs, glad Freedom","well may hail; For, landing, they became",her staunchest host.,gutenberg
1398,"With what wild glee, the British set on fire Yon","Capital, beholding in its flames, America, robed in her deeds","and fames, In death throes at the stake of England's ire?",gutenberg
1399,"Though that was long ago and, then no pyre, The","stake still stands; 'tis Anglo-Saxon claims, And Arnolds, bearing infamy's last names,",Tilt schools to raise the stake flames high and higher.,gutenberg
1400,"Oh, sight to strike the coming ages dead, My country,","were a cloud, thy mocking crown, And schools, ignited by Truth's lamps hurled","down, To feed that cloud, like craters, inly red!",gutenberg
1401,"mock with cloud, Thy land and sea renown","And Washington, God's Holy Spirit--known By the","unerring World Light, that it shed?",gutenberg
1402,"Behold Ye Here the Happy Hunting Grounds, Where the Great","Spirit, called Democracy, Sets every heart and soul forever","free, An Equity, not royal grant, sets bounds.",gutenberg
1403,No Phaeton attempting Phoebus rounds And burning,"up earth's grass and forestry, Is lust for power; 'tis love for","liberty, With bloom and birds for wheel-sparks, here resounds.",gutenberg
1404,It is the,land of,Spirit.,gutenberg
1405,"""Ye who enter, Abandon","first all fratricidal hate,"" Proclaims the edict,",blazoned o'er each gate.,gutenberg
1406,There see all tribes chase truth to joy--the center,"Convexing broad and broader, as more great Their numbers",from where prejudice is mentor.,gutenberg
1407,"Hark,",'tis,the sea!,gutenberg
1408,How,leonine,its roar!,gutenberg
1409,"But, oh, how more the lion on a height,","As there he glares and listens for the night, Having",devoured day's clouds from shore to shore!,gutenberg
1410,Now grows his,"mane of billows, high",and hoar.,gutenberg
1411,What scents,he?,,gutenberg
1412,"Potencies escaping sight,","Till, like the cold, they icily alight Upon a",land where all was spring before.,gutenberg
1413,The sun darts,"under earth and east again,",What sees he?,gutenberg
1414,What is the blight to spring,"that kills the seed And raises spectres,","so that stars cry ""See!",gutenberg
1415,""" Aghast at forests,",white or,shadowy?,gutenberg
1416,The scorn of human,"rights, that can but lead The world",from doom to doom!,gutenberg
1417,and,for,what mead?,gutenberg
1418,A bronze for rain and,"rust, or effigy For nibbling","minutes--ah, not hours!",gutenberg
1419,--these flee To life's,progression--truth and,kindly deed.,gutenberg
1420,"Closely scanned, They are gross worms, each with the thought","to grow ""The Conqueror,"" as staged by Edgar Poe For","darking planets and a world, Last Manned.",gutenberg
1421,How weird,a,whisper!,gutenberg
1422,'tis,from,Wallabout.,gutenberg
1423,'Tis glory hoarse,"with calling: ""Raise those hulks Where",writhe my faithful.,gutenberg
1424,Those mangled thousands,"are not dead; they live, Refashioned",men by freedom.,gutenberg
1425,Is the tory Behind the,"sun, to mock me, who am Glory, Being",the lifted life those martyrs give?,gutenberg
1426,"He creeps beneath the sun and,","ghastly gory, Crys out: ""Thou yet","shall be the fugitive"".",gutenberg
1427,"Oh, weirder grows the whisper into word, As sharp as","lightening, and as broad of reach, As seas, flung down by God to every","beach Where thirsts a sparrow, or a bleating herd!",gutenberg
1428,The shouts of millions,shake Oblivion's mire,And raise Thrall's Hulks.,gutenberg
1429,"Justice's stooping sun, Seeing in agony's each, a","Washington, Breaths life in them, and, over Brooklyn's spire And New York's Babel Tower, they,","one by one, Hold Liberty's broading Torch of quenchless fire.",gutenberg
1430,Hate thou not any,"man, for at the worst, He",still is brother.,gutenberg
1431,Will a glance not find Whole peoples,alchemied from heart and mind To steal projectiles by,"a craft, accursed By Human Nature?",gutenberg
1432,"Aye, for, as they burst At dusk, or midnight,","slamming Heaven behind And crashing Hell wide open, 'tis",mankind Is shattered and quick-gulping grave slake thirst.,gutenberg
1433,"Hate thou no man, but scorn all crafts, that","smelt The heart and mind for huge projectiles, shattered When",bursting grandly that some pride be flattered.,gutenberg
1434,"Nature beholds not Saxon, Slav, nor","Celt; She only sees the Human fragments scattered, And,","covering them, her eyes to rivers melt.",gutenberg
1435,Have I ever,been,untrue?,gutenberg
1436,"When, to thy moan of","hunger anywhere,",Have I been deaf?,gutenberg
1437,Was I not,"quick to share My little,","nay, give all!",gutenberg
1438,"I knew Thy beauty, and",my love such passion grew At thy,"distresses,--What would I not dare!",gutenberg
1439,"So, though the bellow, like","a grizzly bear, Reared up before","me, on to thee I flew.",gutenberg
1440,Is thy beauty,"without heart, Or",sense of justice?,gutenberg
1441,Unto whom art thou,"Indebted for thine arm, encircling","now The world, sun-like, more than to me?",gutenberg
1442,My part I,"glory in, for I have",kept my vow.,gutenberg
1443,I hold,"thee now to thine, if",true thou art.,gutenberg
1444,"When a haggard fugitive, Thy","dwelling was a swamp, who first to trace Thy crimson",footprints to thy hiding place?,gutenberg
1445,With signs thou hadst not,"many days to live,",I found thee.,gutenberg
1446,Had the sun more,heart to give To warm,"thee, than I gave?",gutenberg
1447,"Ah, then and there Thy","heart said to my heart; ""Ill would",I fare Without thee.,gutenberg
1448,I give,love for,"love, believe"".",gutenberg
1449,"Thy silence,","when in glory,",troubles me.,gutenberg
1450,warm blood,"dashed back cold, chills",to the bone!,gutenberg
1451,What,do I,ask for?,gutenberg
1452,"Only Erin's own, That which God gave her, and,","if true it be, Thou art the minister of justice grown,",Thy gratitude should thunder God's decree.,gutenberg
1453,"Why bemoan one island in the sea, When I","can range like mountains, or, the sun, Above all clouds, and, rosy from","my run To God, like morn, chant praise, since flesh of thee?",gutenberg
1454,"Oh, yea, my pride and transport, verily, Is, thou",and I eternally are one; And this god-passion which no power can,"stun, I owe to her, who gave her soul to me.",gutenberg
1455,"'Tis Liberty, to whose most blessed birth The stars all lead,","rejoicing, which souls thee With God's compassion for humanity,-- That I invoke;","and, now, when all the earth Bears palms and chants hosannas--what!",gutenberg
1456,"shall she, The most devout,",be shut from Freedom's,mirth?,gutenberg
1457,All English,"glory is in ""Kipling's",Boots.,gutenberg
1458,""" O English",People!,,gutenberg
1459,"read that poem true,","And answer,--are those maddening",men not you?,gutenberg
1460,"""Boots, boots, boots, and no","discharge from war,""-- That is the",Empire's anthem.,gutenberg
1461,"Brass it out,",Ye,Orchestras!,gutenberg
1462,"But oh, leave not in doubt Its import, Kipling,--that","'tis maelstrom roar-- 'Tis England's streams of home-life, world about And","down a gulf, for Greed and Pride on shore!",gutenberg
1463,"Aye, weapons only; for, to whom belong","The minds of England, and treed fields of song-- Nay,","all but grave-ground, grudged by hill and plain?",gutenberg
1464,"O English People, whom the crafty class Has","huddled into graves from sight and sound Of what God hands you,","and, with pence, or pound, Lids down your wild dead stare,--wake!",gutenberg
1465,why so,crass?,,gutenberg
1466,See in the Celts spring-burst,"from underground, The Human",Resurrection come to pass.,gutenberg
1467,"Oh, what are England's lines","of lords and kings, Shakespeare, to thine, a-throb",with thought and feeling?,gutenberg
1468,The,righteousness,of England!,gutenberg
1469,"""Tis to kneel Full weight on weaker nations,",and entone Hosannas louder than the victims groan;,"Then, stooping, drink their blood with gulps of zeal.",gutenberg
1470,""" What right have wounds,","though wide, to throb,",or feel?,gutenberg
1471,'Tis blasphemy,to England's crimson,throne.,gutenberg
1472,Knee-deep in Erin's,"blood, she mocks Christ's moan: Forgive","them, Lord!",gutenberg
1473,they,know not their true,weal.,gutenberg
1474,"""Whose",is the,fault?,gutenberg
1475,"Tis not my arrogance,","But candor, Lord, that puts the",blame on Thee.,gutenberg
1476,What right hadst Thou to make,these people free And let all nature,prompt them to advance?,gutenberg
1477,"-- Oh, no such blunder, Lord,","hadst Thou called me, Instead of Wisdom,",to approve Thy plans!,gutenberg
1478,""" The Bard's curse: ""Ruin","seize thee Ruthless King,"" Took bat-like",form for hollow echo-flight.,gutenberg
1479,"Oh, to my sight,","How grows its grimness, while",eternaling!,gutenberg
1480,"Deep are the minds of Wales, but far more deep","The horror, gulfed out by McCreedy, firing On","men defenseless and, through want, expiring.",gutenberg
1481,"Oh, from that gulf the Bard's curse makes a sweep","Up to the Sun and, from its long desiring, Grown eagle,",shrieks to heaven from steep to step!,gutenberg
1482,"""A dirty work,"" said Dyer,",rebuked for spilling Hundreds of lives to,irrigate new lands.,gutenberg
1483,"A dirty work, but not","for British hands, Dabbling in",blood to earn each day their shilling.,gutenberg
1484,"Mohawk Valley and Wyoming, chilling With","thought of Tarleton's King-serving bands, And Canada red-clayed, though high snow stands,",Cry: Work for which the British are too willing!,gutenberg
1485,Invaded lands need terror,irrigation To make,them fruitful.,gutenberg
1486,"The ocean, holding pure the azure's","blue, Laughs at the tempests, with one empire's dust","After an other, to round out Earth's crust.",gutenberg
1487,"Look in the sea and deep,","what scattered rock, The islands which","at dusk, the tempest piled!",gutenberg
1488,Ere rose,"a star, they sank with","crews, beguiled.",gutenberg
1489,"O Tempests that with world formations,","mock The good Creator, how, as ye grow wild, Earth quakes",and no live thing survives the shock.,gutenberg
1490,Our country is,"not rock and wood and stream, But",soul transfusing them.,gutenberg
1491,What,is the,soul?,gutenberg
1492,"The soul, then,--our true country,--is the brave","Who fought and bled for Freedom, or will fight To their","last pulse, last breath, for Human Right.",gutenberg
1493,"oh, how like bubbles in the wave,","Are the Sierras in cerulean flight, To thy","true grandeur, letting nought enslave!",gutenberg
1494,O thou art Character--art,only those Who formed the good and,"great by thought, or deed.",gutenberg
1495,"No mere foot-shadow, on time's wall, art thou,","Without eye-sparkle, swing of arm, warm flow From heart","to vain, and cheeks with health of glow.",gutenberg
1496,"Oh, 'tis eternal heights reflect thy","brow And shoulders, that avert man's overthrow, Threatened","all times, and never more than now.",gutenberg
1497,"Oh, what if",lone and long thy lofty,"flight, My country?",gutenberg
1498,Is thy vision not as,"clear As that of Vesper, dauntless pioneer",On Twilight's altitude?,gutenberg
1499,"How thy lone loftness, aloof","from wrong, Refracting man-ward, God's enrapturing smile","Of fruitful fields, leads legions!",gutenberg
1500,"On they file And phalanx, and","the vision makes thee strong: What, though God's searchlight",flares the sky the while?,gutenberg
1501,It nears not,"thee, ear-close to heaven's",high song.,gutenberg
1502,From out a desert where the,"trails run red, Judah and Erin speed","their camel pace, Sighting green palms.",gutenberg
1503,""" Who, in descent from Heaven's ecstatic throng, Was","twin to light, and ranged from source to sea, And shore to peak, and God, drew","up to thee The generations happy, pure and strong?",gutenberg
1504,"Freedom, as Erin's was, ere","ruthless wrong Caught, scourged and hanged it on the",out-law's tree; And is; for lo!,gutenberg
1505,"it proves Divinity,","Transfiguring from anguish,",ages long.,gutenberg
1506,"True, they have strangled Freedom on","the cross Of every Right's suppression--nay, have barred","His body's tomb, and placed a host on guard!",gutenberg
1507,"Still, He is",risen; His faithful,mourn no loss.,gutenberg
1508,He shines,forth in their,midst.,gutenberg
1509,No bolts retard,"His entrance, where grand aims",for life engross.,gutenberg
1510,The fight in,Ireland is,'twixt Man and Brute.,gutenberg
1511,"A lion with the sea-surge for his mane,","Is there hurled back by Man with proud disdain, Although",heart-drained with gash from head to foot.,gutenberg
1512,"Oh, in that Eden of Forbidden Fruit, How","Satan, searching for a snake in vain, Fumed forth a monster from his",heart and brain-- The Lion--as the serpent's substitute!,gutenberg
1513,"Oh, all ye",peoples of the World,draw nigh!,gutenberg
1514,"How help love thee, whose hand,","raised to the sun, Glows rosy, and",not red with murder's stain?,gutenberg
1515,The,angels,kiss it.,gutenberg
1516,Force can,forge no chain To,drag thee false-ward.,gutenberg
1517,"Like a holy Nun, Stigmated,","how thy faith grows with thy pain-- Aye, till thy","Cross, like Constantine's has won.",gutenberg
1518,"In rapt, roused Erin, who does not","behold A Venus, rising from the sea of","tears, Up to her native, Earth-illuming spheres?",gutenberg
1519,where the green,"and orange morn unfurls, See",Erin rise.,gutenberg
1520,How shine her,golden,tresses!,gutenberg
1521,"They form her crown, for trailing rocks down whirls, And reaching","all the under-sea recesses, They draw about her brow, the rarest pearls--",Love for what frees and hate for what oppresses!,gutenberg
1522,"Look,",Human,Nature!,gutenberg
1523,Where else canst thou,boast To the eternal,"stars, so grand a sight?",gutenberg
1524,How men there ennoble,human kind By making Liberty,the light to Peace!,gutenberg
1525,All other,lights are false.,,gutenberg
1526,who but sees In the unconquerable,"Celtic mind That, even in Time, there are Eternities--","Love, true to Right, and Will no wrong can bind!",gutenberg
1527,Why play,with,words?,gutenberg
1528,There never,can be peace Till Ireland,is set free.,gutenberg
1529,Her spirit is no,norbury Banshee-- To wail,"and, then, to vanish.",gutenberg
1530,"She will stand With lifted flambeau, lighted by","the hand That lights the stars, till she again is free, Inspiring normal","man in every land With love of Freedom, by her scorn of thee.",gutenberg
1531,"Stop foul God-slaughter where to not rebel,","In order to develop and excel, Were God","in man, succumbed to age-longed blights.",gutenberg
1532,""" Where Heavenward rose","the God in man of old, Staunch",stand these Wardens.,gutenberg
1533,"Sleepless, they behold",Each turn of England's,Evil Eye.,gutenberg
1534,"They call, When she would form the fulminate","of gold, A thumb and finger-pinch of which, let fall, Might blast",Columbia's peaks to slit of thrall.,gutenberg
1535,"Of all the fulminates, gold is the worst, Which","England, aeroplaning, now, lets drop By day and night, in bank, press, church and","shop, Timed to the minute that it is to burst.",gutenberg
1536,"List to Demosthenes,","if not to Hearst, Sublime",Republic!,gutenberg
1537,"Lest thy great heart stop, Shocked by","the blast of Freedom's every prop, And","bats and owls in dwellings, Human's erst.",gutenberg
1538,"She drops her gold,",in creeping Beneath,free Athens' sky-ascending stair.,gutenberg
1539,Watch,her with glance of,sword.,gutenberg
1540,"Oh, watch, for where","She sows her gold, she comes",with scythes for reaping!,gutenberg
1541,Is Athens in ascent,"with sun-light flare, To come down ashes,",not worth history's keeping?,gutenberg
