,0,1,2,source
2068,lamplit breath,floats along the shore,ghost stories,sballas
2069,pecans falling??,we wait for our grandson,to visit,sballas
2070,church bell,the smell,of snow,sballas
2071,the headstones tilt,at different angles,dustings of snow,sballas
2072,flickering lights . . .,he notices my handwriting,on the presents from santa,sballas
2073,harvest moon,over an empty wheat field,gettysburg,sballas
2074,just can?t help it,correcting the grammar,of the blues singer,sballas
2075,full moon,he asks if i?m ready,to sing,sballas
2076,dusky nettlebed,the stream just deep enough,for ducks to dabble in,sballas
2077,falling oak leaf??,dance macabre,of its shadows,sballas
2078,big city morning??,shadows hiding,my shadow,sballas
2079,autumn clouds,a carly simon poster,fades into barnwood,sballas
2080,honking geese,the jumble of pumpkins,at a roadside stand,sballas
2081,yellow leaves in the current,a mink,after a mink,sballas
2082,no way out,death's at the door,demanding candy,sballas
2083,backstroke??,her navel ring glints,in the moonlight,sballas
2084,second week,away from home,wild blackberries,sballas
2085,alone at dusk . . .,ice-blocks resettle,in my glass,sballas
2086,old letters . . .,flotsam on a river,to the ocean,sballas
2087,city dweller??,the sound of the interstate,i call the ocean,sballas
2088,rain of stars,the eyes of wish-makers,sparkle with hope,sballas
2089,light shimmers,on the undersides of leaves,scent of clay,sballas
2090,shooting star??,those things,we tell no one,sballas
2091,just inside,the garden gate,the first bench,sballas
2092,old orchard beach,before i could think it,cassiopeia,sballas
2093,rush hour haze . . .,the traffic warden swats away,a cherry petal,sballas
2094,clapboard house,in the just plowed field,sundown,sballas
2095,first light??,the soft-sleep breath,of my newborn child,sballas
2096,"gnats, gnats, gnats",my bobber,disappearing,sballas
2097,ladybug outbreak,the wish i make,again and again,sballas
2098,childhood home,i dig out the roots,of a tree i planted,sballas
2099,a tributary,muddies the main stream??,middle of spring,sballas
2100,the unfading,sun in your face,amaranth,sballas
2101,tipping rain,the bull trudges,between tussocks,sballas
2102,cormorant's dive,waiting,until my eyes hurt,sballas
2103,snow moon,bitter wormwood,still on her tongue,sballas
2104,all i wanted,to tell her,bare winter trees,sballas
2105,pisces rising??,the big one,runs with my line,sballas
2106,my cold hands,a scrabble of bird claws,on the guttering,sballas
2107,coffee perking,a ray of sunshine streams,into the rain,sballas
2108,wintering,their different ways,birch and pine,sballas
2110,huddled pigeons,a taxi waits,in winter rain,sballas
2111,wild weather,something of it,stirring in me,sballas
2112,vernal equinox,the tender shoots,of weeds,sballas
2113,squirrel chatter,in the woodshed,a cache of cones,sballas
2114,jade tea cup,the fallen leaves,of the poinsettia,sballas
2115,snow-covered hills??,my sister and i coast,into the new year,sballas
2116,winter moon,across the wall,my long shadow,sballas
2117,city zoo,a wolf looks up,at snow,sballas
2118,end of yuletide??,i harvest all the balls,from the christmas tree,sballas
2119,dusk . . .,i?m just another glow,amid traffic,sballas
2120,winter night . . .,i pick the last grain,of rice from the plate,sballas
2121,expanding universe,the homeless man looks,for a place to sleep,sballas
2122,a train trip,to mongolia . . .,winter stars,sballas
2123,full moon chill,in the green tomatoes,a change of plans,sballas
2124,north wind,and the swirl of leaves??,this fire within,sballas
2125,the apples left,in a leafless tree: a prayer,for your lymph nodes,sballas
2126,first snow??,still knitting,the second mitten,sballas
2127,northern lights??,the feel of a planet,beneath my feet,sballas
2128,ignoring the directions,on the gps??,indian summer,sballas
2129,autumn afternoon,mother touches,my thinning hair,sballas
2130,veterans day??,first red flower,on the cactus,sballas
2131,hosing the garden,off the carrots??,thanksgiving,sballas
2132,a crow at dusk??,ink sinks deeper,into the page,sballas
2133,toddler's first,one small step,toward the moon in the window,sballas
2134,autumn moonlight,a migrant worker sings,his way home,sballas
2135,smoke drifts,from a fajita stand,plaza autumn,sballas
2136,the right shoes,in the wrong size,october moon,sballas
2137,scent of balsam??,shapes of geese,held in the mist,sballas
2138,sheen of apples??,in a migrant child's lap,her own dirty feet,sballas
2139,my mother braiding my hair . . .,i realize now,how young she was,sballas
2140,walking alone??,my face,disassembles,sballas
2141,rushing home,as though you were still there,autumn dusk,sballas
2142,autumn leaves,the songs we learn,as children,sballas
2143,the desert stars??,i almost believe,his forever?,sballas
2144,a neighbor's dog howls,with the sirens??,night heat,sballas
2145,the ocean's roar,on the forest hike,my second-wind,sballas
2146,dry thunder,one yellow leaf trickles,from all of the green,sballas
2147,fluffy seed pods??,the evening air heavy,with party chatter,sballas
2148,death valley:,a man who's never been there,tells me all about it,sballas
2149,as great,as the grizzly,the fear,sballas
2150,sand fishing,the long shadow,attached to his heels,sballas
2151,your cologne,lingers on my skin . . .,day moon,sballas
2152,summer's end,we topple a pyramid,of beer cans,sballas
2153,choke cherries??,press of my skeleton,through the flesh,sballas
2154,thudding surf??,her permission,to be blunt,sballas
2155,sequoia national park,i promise my grandkids,they?ll grow tall,sballas
2156,lifeless bumblebee??,the ground around it,darkens with raindrops,sballas
2157,hailstone,it tastes a little,of wild onion,sballas
2158,anniversary,an old dress on the line,fills with wind,sballas
2159,gibbous moon,my son tells his part,of the story,sballas
2160,nursing blisters,at the halfway mark . . .,soft mossy rocks,sballas
2161,cloudburst,the sound of raindrops,changing size,sballas
2162,summer night,my cat speaks to it,through a screen,sballas
2163,pulling,the push? door,vernal equinox,sballas
2164,the road disappearing,into wetlands of mist . . .,i keep going,sballas
2165,the scent of turned earth,across seeded fields,twilight,sballas
2166,hawthorn breeze,the white bob,of a rabbit's tail,sballas
2167,spring wind,our dog barks,where i?m hiding,sballas
2168,wildflowers,i cannot name,most of me,sballas
2169,twin lambs,the ewe keeps watch,over the one not moving,sballas
2170,her note,in my pocket,cherry buds,sballas
2171,the best conversations,are in my head??,rain on the windowpane,sballas
2172,may rain??,i stretch my body,over the whole bed,sballas
2173,fishing village,a rumor of blues running,through the caf?,sballas
2174,summer wind,we ask a younger couple,where we are,sballas
2175,winter sun . . .,i look for something useful,to do with my hands,sballas
2176,icy cobblestones??,the tinsmith,stokes the forge,sballas
2177,tangled,in blades of grass,spring breeze,sballas
2178,i ask him again,the honeybee burrows,into thistle,sballas
2179,home game,our wind,in their flag,sballas
2180,lowered,on lark-song,his coffin,sballas
2181,orange nasturtiums,the stir of life,in my womb,sballas
2182,gooseflesh,in the cold grass,crickets,sballas
2183,her death bed,the clackety-clack-clack,of my homebound train,sballas
2184,he tells me the word,i?m looking for,total eclipse,sballas
2185,late autumn,a doll that lost,its sawdust,sballas
2186,guttering candle . . .,a whole life lived without,the northern lights,sballas
2187,falling leaves,the knot that makes,two lines one,sballas
2188,wetting fingers,to pick up crumbs,insomnia,sballas
2189,a carpet of leaves . . .,i try to remember,her first smile,sballas
2190,fallow field,the frosted shadow,of a scarecrow,sballas
2191,christmas eve??,candles flicker through,our wine glasses,sballas
2192,summer's end,the familiar scent,of the old salt cedar,sballas
2193,a hummingbird,follows the falling leaf,my friend's untimely death,sballas
2194,paper lanterns,a white eggplant glows,beneath withered leaves,sballas
2195,simmering rice grains,in the pot??,patter of rain,sballas
2196,the cricket,stuck in a minor key??,milky way,sballas
2197,morning glory,still some openings,i haven?t seen,sballas
2198,9/11 moment of silence,the clicks,of a thousand cameras,sballas
2199,the only cafe,surrounded by trucks,harvest moon,sballas
2200,salt marsh,the runnels deepen,through cordgrass,sballas
2201,from one skyscraper,to the next,emerging moon,sballas
2202,cicadas buzz,as we walk from the church:,white dresses,sballas
2203,lightning strike,the majestic poplar's,creamy heartwood,sballas
2204,ashes of roses??,what once was our secret,now just mine,sballas
2205,mountain top??,the photograph of the view,before the view,sballas
2206,the big empty??,half grass,half sky,sballas
2207,trail dust,all those years mother hiked,behind us,sballas
2208,heat lightning,a skunk's scent,wets the night air,sballas
2209,late summer:,waking to the vacant o,of the wren's house,sballas
2210,faded roses,some of the words,i can?t take back,sballas
2211,summer twilight??,the red ball runs,the final wicket,sballas
2212,pedal boat,i overtake,a duck,sballas
2213,rainbow,his sketch stippled,with droplets,sballas
2214,3:30 a.m.,a single layer,of birdsong,sballas
2215,tempers flare,the x-mark on the back,of a stinkbug,sballas
2216,venus and jupiter,the barechested fire-eater,taunts his crowd,sballas
2217,an arc of ibis,above the harbor,blue sky day,sballas
2218,summer dusk,a little milk,left in his glass,sballas
2219,squad car,at the neighbors? again,distant thunder,sballas
2220,every word,breaking something,hailstones,sballas
2221,dirt road??,a buddha sticker,on the stop sign,sballas
2222,in the tide mark,a child's blue jacket,gull's cry,sballas
2223,low tide,waiting for grandchildren,to happen,sballas
2224,azalea bonsai??,the flower girl clutches,her first bouquet,sballas
2225,honeysuckle,the hummingbird,presses in deeper,sballas
2226,early summer,boys throw father's lures,into moonlight,sballas
2227,sea anemone,the baby's firm grip,on my finger,sballas
2228,first birthday,she reaches,for the flame,sballas
2229,summer rain . . .,the red earth,reddens,sballas
2230,sheet lightning,a grey cat flickers,through the grass,sballas
2231,three-day beard,a large rock,divides the river,sballas
2232,fog blurring the hills??,to pass the time,we reminisce,sballas
2233,high autumn sky,i return a greeting,from the dog,sballas
2234,dusting over,dad's bowl of wheat pennies,late autumn light,sballas
2236,we talk . . .,most of the rose petals,on the table,sballas
2237,the barnacled flukes,of migrating whales . . .,mountains lost in haze,sballas
2238,far below,migrating geese,follow the river,sballas
2239,parting year . . .,someone has died in the house,with the shoveled walk,sballas
2240,all that sound,from a single sparrow??,winter morning,sballas
2241,morning rain,secondhand smoke,in an apology,sballas
2242,morning fog,on the coastal route,wild mustard,sballas
2243,dragonfly pair,female so clear,through his wings,sballas
2244,dusk,with nowhere to turn,sunflower,sballas
2245,midnight bus,the door swings open,to moonlight,sballas
2246,single track,coal cars,beat out a tune,sballas
2247,shrinking shade,a praying mantis rocks,in the warm breeze,sballas
2248,smell of sedge . . .,coots settling,in the reeds,sballas
2249,late moon halo,fish scales reflecting,on my father's blade,sballas
2250,the hound's tail matches,the turn signal's beat,almost home,sballas
2251,whistling to myself??,the changing rhythms,of marsh grass,sballas
2252,ancient fir scar??,a banana slug pulls one eye,inward,sballas
2253,blackberry stains,on the white sidewalk,his urgent kiss,sballas
2254,late summer talk??,the oil lamp smoke,going in circles,sballas
2255,sunset . . .,the fishing boats closer,to each other,sballas
2256,cracked boulder,an acorn,settles in,sballas
2257,shelling almonds,bits and pieces of,childhood,sballas
2258,on the hammock . . .,floating back to its branch,a butterfly,sballas
2259,end of summer,the sting of a thorn,through my garden glove,sballas
2260,essays to grade,a car stirs dust,on the gravel road,sballas
2261,cattail seed,floating???the places,i would go,sballas
2262,melting bitumen,the beetle and i,reduced to a crawl,sballas
2263,smell of grass,a drop of sweat sizzles,on the mower,sballas
2264,the smile,in his voice,starshine,sballas
2265,listening to the sound,from the deep well . . .,stone on stone,sballas
2266,poplar seeds . . .,all my dreams,coming true,sballas
2267,long afternoon . . .,here and there,a butterfly's shadow,sballas
2268,deodorant scent,"tonight, love,",i am a spring wind,sballas
2269,thistledown,drifting toward its shadow,my friend's last day,sballas
2270,roots down deep . . .,mud paddies bake,in the midday sun,sballas
2271,summer dusk??,watering the garden,then my feet,sballas
2272,mountain retreat??,a layer of dust,on all the canned goods,sballas
2273,green-black sheen,of a rooster's tail feathers,my neighbor's new car,sballas
2274,closing light,the whistles of siskins,in the fringes of the wood,sballas
2275,dead end street,bougainvillea overflows,the chain link fence,sballas
2276,broken screen??,the house finch,looks in,sballas
2277,at the entrance,to the whistle-pig's burrow,mountain bluebells,sballas
2278,when you think,you?ve heard it all??,brown thrasher,sballas
2279,we both squeeze,through the kissing gate . . .,thunderclap,sballas
2280,desert wind,a wire fence stretches,to nowhere,sballas
2281,dry spell,the dust of sparrows,blown by the wind,sballas
2282,an empty shot glass,on the windowsill,evening snow,sballas
2283,heavy going,through the waterlogged field,clay-pigeon shards,sballas
2284,a rainy slope,where legions fell . . .,thistles,sballas
2285,wild mint,in the spring forest,a chance encounter,sballas
2286,rocky shore . . .,the trout on my line,pulls you closer,sballas
2287,cabin fever . . .,bullrushes bursting,in the vase,sballas
2288,shredded checks??,the robin weaves my life,into its nest,sballas
2289,warm breeze??,new ivy leaves finding,their place in the sun,sballas
2290,spring moon . . .,from the street girl's hand,a shadow rabbit,sballas
2291,crabapple blossom??,the older twin always,one step behind,sballas
2292,temperature drop??,the way stars are,a witness,sballas
2293,swollen moon??,the sudden urge,to push,sballas
2294,the fire's scent,lingering,morning moon,sballas
2295,cold snap . . .,waking to the creak,of house timbers,sballas
2296,clatter of pipes,when i turn the tap off,snowy night,sballas
2297,a hawk's cry,i listen,to the gathering dark,sballas
2298,how strange this human body,not queen anne's lace,not thistle,sballas
2299,frigid morning,the brittle echo,of a crow,sballas
2300,winter evening,my boy calls,to say he's feeling better,sballas
2301,an ancient wick,casts shadows on the wall??,mother's soft humming,sballas
2302,milky way??,maybe tonight,i?ll conceive,sballas
2303,twinkling stars,again we pass the house,we?ll never buy,sballas
2304,wounded knee??,trying not to speak,above the wind,sballas
2305,the geyser erupts??,for a moment i forget,the smell of sulfur,sballas
2306,conversation,above the kitchen clatter,summer evening,sballas
2307,stepping stones,a dragonfly lands,on my shoe,sballas
2308,zinnias . . .,why yes my favorite,was harpo,sballas
2309,the dog and i,on the moonlit dock,scratching bug bites,sballas
2310,august evening,grandfather whittles,the light away,sballas
2311,this sky,too blue to last,chickadee,sballas
2312,vertical dive??,the ocean folds over,a tern,sballas
2313,a stream begins,in the middle of the trail,thrush beyond thrush,sballas
2314,day-long downpour . . .,dressing the children,for the ex-wife's wedding,sballas
2315,the longest day,he stills the mower,at twilight,sballas
2316,rippled sand . . .,each trough cradles,the glint of shells,sballas
2317,midsummer day??,tilting a longneck,all the way up,sballas
2318,morning sun,the honeybee's abdomen,pulses,sballas
2319,haggling over price??,the frozen jaw,of a warehouse tuna,sballas
2320,midsummer sea,silver ripples,from an otter's back,sballas
2321,beachside caf?,a bit of sand,in the waiter's ear,sballas
2322,thunder??,a looping inchworm's,rhythmic slide,sballas
2323,every spring,the same question . . .,returning bees,sballas
2324,sunrise,a shoot half out,of its seed skin,sballas
2325,faint scent of lilacs,i wonder what he means,by,sballas
2326,paper cranes,the yellow birch unpleats,its leaves,sballas
2327,beachcombing . . .,a wave picks up and drops,the sun's reflection,sballas
2328,lantern light,the river slips,through our fence,sballas
2329,first buds??,the oriole sings,its love song,sballas
2330,from the secret place . . .,the mother dog,with her litter,sballas
2331,sun-dappled sidewalk,shadows of new leaves play,on stains of the old,sballas
2332,moonless night,foxfire where there was,a forest road,sballas
2333,in blinding snow,sweet silage smell,from a door left open,sballas
2334,winter morning,the flag-draped coffins,of a few,sballas
2335,winter sun,the last photographs,in mother's album,sballas
2336,all day rain,a whistle of wind,breaks the rhythm,sballas
2337,the ewe,nudges her lamb once more??,ravens cawing,sballas
2338,more snow . . .,the nag of an itch,i can?t reach,sballas
2339,thin clouds,the ladle steams,above my bowl,sballas
2340,rain-lashed valley,the ram's wool matted,over his bones,sballas
2341,bevy of sparrows,a creek breaks,its winter banks,sballas
2342,a brown leaf,dangles among the buds??,the ambulance arrives,sballas
2343,the darkness,of long-empty stables??,quaker meetinghouse,sballas
2344,three-quarter moon,the windmill rusted,into silence,sballas
2345,sunset and moonrise??,if only i could learn,to be faithful,sballas
2346,october frost,the tread of the landlord,on crisp brown leaves,sballas
2347,grandmother,the stoop,in her shadow,sballas
2348,soldiers coming home . . .,three wasps circle where,the nest used to hang,sballas
2349,click-clack,of the bead curtain??,the sway of her hips,sballas
2350,a sioux tunic,embroidered with elk teeth,behind smudged glass,sballas
2351,thin marsh ice,my father attempts,an embrace,sballas
2352,a sparkler fizzles,into darkness,year's end,sballas
2353,ripening wheat??,he whistles,the latest love song,sballas
2354,i don?t know,what to tell her . . .,bruised mint,sballas
2355,dog days??,pulling off,cockleburs,sballas
2356,summer's eve,i turn the glider cushion,to its clean side,sballas
2357,late summer,crossing the memory,of a stream,sballas
2358,beach cabanas,flapping in the breeze,the sound of idle chatter,sballas
2359,handshake,not a kiss,starless night,sballas
2360,summer evening,a cook in the alley points,his knife at the moon,sballas
2361,muggy evening,a door slams shut,in the dead man's house,sballas
2362,sunset,i absorb the stillness,in the trees,sballas
2363,stars begin to fade . . .,so much music,from unseen birds,sballas
2364,slow train journey,a gull's shadow,takes the lead,sballas
2365,worn out day??,rocks the river left,on top,sballas
2366,midsummer,a speedboat slices,the lake in half,sballas
2367,scorching heat??,the shrilling of cicadas,pierces me,sballas
2368,nameless falls,a water ouzel,at rainbow's end,sballas
2369,dead man's curve??,a screech owl veers,toward the river,sballas
2370,after each,turn of the page,the fly,sballas
2371,thunderclap??,the sun tea,darkens,sballas
2372,secret campsite,chilled beer clinks,in midstream,sballas
2373,first night out,on their own . . .,my seedlings,sballas
2374,spring breeze??,a mosquito in the sap,of a beaver stump,sballas
2375,day after memorial day,a rolling trashcan filled,with flags,sballas
2376,field stones,the broadness,of the farmer's back,sballas
2377,fragile truce??,beet seedlings,in a crooked row,sballas
2378,milkmoon??,my daughter nurses,her plastic doll,sballas
2379,spring hail,the horse rolls its tongue,over the fencepost,sballas
2380,market stroll??,rotating a coin,in my pocket,sballas
2381,summer solstice,the long shadow cast,by a plastic t-rex,sballas
2382,swimmers,at the middle of the lake,graduation night,sballas
2383,hundreds of gulls,feeding their chicks,he points at the dead one,sballas
2384,first warm day??,the woodpecker works,a shiny stump,sballas
2385,dark hallway,an explosion,of cut lilac,sballas
2386,muddy gloves,a colourful bunch,of empty flower pots,sballas
2387,next to the tracks,an old bottle,catching dawn,sballas
2388,years later,mist still gathers,in the same hollow,sballas
2389,a tap,on the shoulder??,a raindrop,sballas
2390,town cannon,a finch with twigs vanishes,down the muzzle,sballas
2391,night rain,the bedroom fills,with memories,sballas
2392,we let,our secrets out,empty nest,sballas
2393,kneading dough??,a cold wind gathers,yellow leaves,sballas
2394,first frost,the birds that stay,the birds that go,sballas
2395,mother's keepsakes . . .,the questions,i never asked,sballas
2396,quilting circle,we rearrange pieces,of our lives,sballas
2397,fishbowl,telling a child,about death,sballas
2398,a handful of kindling,in the fireplace??,moving day,sballas
2399,deep woods,an old stone wall,buried in leaves,sballas
2400,making resolutions,piles of fallen needles,beneath the pine,sballas
2401,house sitting . . .,the warmth,of my friend's cat,sballas
2402,winter evening,my boy's,thin shoulders,sballas
2403,on a field,of ripe tomatoes,the empty wooden crates,sballas
2404,every place taken,on the finch feeder,september rain,sballas
2405,split milkweed pods??,getting to know him,at his memorial,sballas
2406,a leaf??,its descent stopped,by a child,sballas
2407,wembley stadium??,a blackbird sings,to empty seats,sballas
2408,labor day??,scraping mold off,government cheese,sballas
2409,breathe in,breathe out,autumn moon,sballas
2410,autumn dusk??,a fine layer of mist,over the cricket pitch,sballas
2411,first mouthful,of a warm cider doughnut,scarlet hillsides,sballas
2412,moon at the window . . .,i cut another eye,from the potato,sballas
2413,cabbages starting,to touch each other,late-summer heat,sballas
2414,oars in unison,slicing the river,slicing the moon,sballas
2415,dimly lit porch,the newspaper boy,no longer a boy,sballas
2416,the storm's rain,rising as mist . . .,wings of a barn owl,sballas
2417,a curlew,holds its second note . . .,shadows lengthening,sballas
2418,small town,hospital . . .,sound of the typewriter,sballas
2419,night time??,moths queuing,at the cash machine,sballas
2420,late summer flowers . . .,the joy,of a good sneeze,sballas
2421,settlers? cemetery,an old yew creaks,at noon,sballas
2422,gleam of mudflats??,a snail retreats,into its shell,sballas
2423,honeysuckle,where you first hear,the river,sballas
2424,roaring wind??,my little thoughts,for tomorrow,sballas
2425,ocean breeze,a pitcher and his interpreter,walk to the bullpen,sballas
2426,birdsong . . .,the neighbor's light on,at 3 a.m.,sballas
2427,sunrise??,the new calf fumbles,at an udder,sballas
2428,morning commute,sprinklers soaking,the strawberry fields,sballas
2429,dense fog . . .,the train evaporates,into a distant horn,sballas
2430,first swallow . . .,the calm of dawn,slips away,sballas
2431,low sun??,a wren's song,spirals,sballas
2432,coats dripping rain??,we discuss,our addictions,sballas
2433,new year's dawn,the dog waits beside,his empty bowl,sballas
2434,deep winter,the thin bones,of her wrist,sballas
2435,bone chilling??,not enough night,for all the stars,sballas
2436,cool march breeze??,between faded tea towels,her frayed pink bra,sballas
2437,nascent spring,this warm loaf,of ten-grain bread,sballas
2438,white walls,white pills . . .,another day,sballas
2439,winter night,the sound of mother's,sewing machine,sballas
2440,winter evening,a young woman smiles,from the hair dye box,sballas
2441,first spring day??,even out of doors,i want to go out,sballas
2442,daffodil shoots . . .,underneath a bandage,the cut begins to itch,sballas
2443,unemployment line,the autumn wind,fills with leaves,sballas
2444,solitude . . .,smoke from the incense,thickens a sunbeam,sballas
2445,father's ashes,the sea spray,chills my face,sballas
2446,christmas drizzle,my children come home,on different days,sballas
2447,storm warning,the inflatable snowman,lying low . . .,sballas
2448,lights from cities,a passenger's shoulder,touches mine,sballas
2449,bedside vigil . . .,moonlight comes,and goes,sballas
2450,cusp of winter??,passing into,the mountain's shadow,sballas
2451,minute of silence . . .,a single fir needle,on the hardwood floor,sballas
2452,winter fog,the minute hand,stuck in place,sballas
2453,craggy overlook,a tail swinging,in the hawk's beak,sballas
2454,dry patches,on the schoolhouse lawn??,remedial math,sballas
2455,broken pavement . . .,she shows me,the blackberry patch,sballas
2456,one turtle's foot,on another's back,labor day,sballas
2457,magpie season,the schoolgirl's lunchbox,on her head,sballas
2458,dull blade??,the way it opens up,a peach,sballas
2459,after the funeral . . .,i rotate the chessboard,with each move,sballas
2460,moving day,the children stick postage stamps,on the bare kitchen floor,sballas
2461,harvest moon,a soup chicken thaws,in the sink,sballas
2462,fog lifting??,my cat finishes,a sparrow,sballas
2463,fine china,a dusting of pollen,over my tea,sballas
2464,kite string,between father,and son,sballas
2465,house hunt??,our dog inspects,all corners,sballas
2466,moving van??,the smell of fresh bread,from a neighbor's kitchen,sballas
2467,too late to take it back:,the purple spines,of the sea urchin,sballas
2468,cell phone ringtone,again in the mix??,mockingbird,sballas
2469,no one calls,she gently dusts,her porcelain rabbits,sballas
2470,early dawn,the warmth of our son,between us,sballas
2471,the long day,a bug,cleans its antennae,sballas
2472,summer night,secrets escape through,open windows,sballas
2473,first day of spring,children risk marbles,on the playground,sballas
2474,chore time,the boy ties his kite,to the scarecrow,sballas
2475,palm sunday,the birdwatcher,tiptoes out of church,sballas
2476,prairie grass,a mustang runs,with the wind,sballas
2477,memorial day,his name her reflection,in black granite,sballas
2478,easter eggs??,the multicolored faces,of the children,sballas
2479,late for church,from an open barn door,the lowing of cows,sballas
2480,blue-eyed grass,she asks,if i love her,sballas
2481,in his woodshop . . .,my father is lost,in the grain pattern,sballas
2482,new home??,orienting myself,to the sun,sballas
2483,valentine's day,his dog drops driftwood,at my feet,sballas
2484,breaking the ice,i tell the cattle,it is almost spring,sballas
2485,last days of winter??,a jumble of tarnished silver,on the sideboard,sballas
2486,older suburb,woven through,with wild plum blossom,sballas
2487,as i reflect,on growing old . . .,daffodils!,sballas
2488,winter twigs??,the buds forming,at the scars,sballas
2489,seed catalogs??,garden plans grow around,a toad house,sballas
2490,open crocuses,wind lifts the feathers,on a starling's throat,sballas
2491,her third birthday,tulips bend,under a light snow,sballas
2492,waking up,not alone,cherry blossoms,sballas
2493,farmers? market??,on the mangoes in the straw,a strand of tinsel,sballas
2494,pinging sleet,she tugs tight,each stitch,sballas
2495,the bootprints end??,the brook keeps flowing,into the deep woods,sballas
2496,dark so soon,a stand of pines,with snow-broken limbs,sballas
2497,warm from the dryer,summer clothes,for the suitcase,sballas
2498,christmas concert??,mary keeps the beat,on the baby jesus,sballas
2499,mouse sounds,a chunk missing,from the moon,sballas
2500,town dump,a bear just sits there,in the falling snow,sballas
2501,biting wind,our words fly,over each other's heads,sballas
2502,if purple,were my color . . .,twilight snow,sballas
2503,first love,the sterile flower,of queen anne's lace,sballas
2504,"slow, slow dusk",cicadas flood the pause,between apologies,sballas
2505,caught,in the revolving door,sunset,sballas
2506,ocean dusk,a tattler hauls a morsel,from the shallows,sballas
2507,first cold night??,the plumber swears,in polish,sballas
2508,windy afternoon,two beetles manage to mate,on the goldenrod,sballas
2509,farm auction . . .,the green side,of a tomato,sballas
2510,the off season,leaves cover,the nude beach,sballas
2511,a leaf,in no hurry,indian summer,sballas
2512,days shortening??,his childhood sketches,of dinosaurs,sballas
2513,leaning trees,almost touch across the creek,a dove's flight display,sballas
2514,sultry night,the rhythm of oars,stroking the lake,sballas
2515,clipping tags,from luggage . . .,summer's end,sballas
2516,rolling in,with the morning fog,seabird on a wave,sballas
2517,mist into rain,the drone of a small plane,blends with our chanting,sballas
2518,headwaters,the dipper's shadow,follows its call,sballas
2519,out of names??,we sit silent in the dark,among the stars,sballas
2520,autumn dusk,the gates of the lock,close behind us,sballas
2521,point reyes lighthouse,how the deep note travels,on the water,sballas
2522,school bell . . .,noticing her,for the first time,sballas
2523,chess in the park . . .,an acorn,topples a king,sballas
2524,sandcastles,new friends work on,old problems,sballas
2525,the child,blowing on a pinwheel??,the wind blowing on her,sballas
2526,cracked soil,a day laborer bent,over his shadow,sballas
2527,distant thunder,a revolutionary cannon,green with age,sballas
2528,summer night,a smoker's cough and the clack,of mahjong tiles,sballas
2529,sitting on the hill,"of mom's pregnant belly,",the lego castle,sballas
2530,my kinfolk,don?t say a lot,hemlocks all around,sballas
2531,wildfire,vultures circling,the outer thermal,sballas
2532,blue violets . . .,the coolness of evening,ascending the mountain,sballas
2533,as it stretches,"back to preen, the sinews",of a swan's neck,sballas
2534,ants working late,in the afternoon sun . . .,a drifting contrail,sballas
2535,the milky way??,a glowworm reaches,the tip of a rose,sballas
2536,sultry afternoon??,wingtip laces,work loose,sballas
2537,deep in summer,the river over and under,my hair,sballas
2538,on the sergeant's grave,a wild jackrabbit,nibbling grass,sballas
2539,cabbage butterfly,floating in the breeze,laundry day,sballas
2540,big sky,the sharp edge,of the spur,sballas
2541,sunlit trampoline,my grandsons bare,their chests,sballas
2542,lightning,the blue afterimage,of your white hands,sballas
2543,first light,the beachcomber,begins his rounds,sballas
2544,graduation day??,we hold hands more tightly,as our son's name is called,sballas
2545,my baby's sigh,the last colors,of sunset,sballas
2546,negotiations??,the butterfly's wings,open and close,sballas
2547,what should have been said??,how the sand pulls,from under my feet,sballas
2548,temple grounds??,one finch,feeds another,sballas
2549,white butterflies,lost in the barley,lost in the wheat,sballas
2550,long day . . .,the lizard's hind leg,stretched too far,sballas
2551,race weekend,the worn paths,to the restrooms,sballas
2552,scent of rain??,all the ways,we failed each other,sballas
2553,palm sunday,the sound of a frond,ripping,sballas
2554,bearing down,on a borrowed pen,do not resuscitate,sballas
2555,a slight shake of bells,as the harness comes off,night snow,sballas
2556,moonless night,children's muffled voices,from the snow fort,sballas
2557,winter sky??,a skein of wild birds,unravels,sballas
2558,blinding ice,my saw releases,the scent of pine,sballas
2559,spring cleaning??,i never cared for the scent,of her letters,sballas
2560,his sax echoes,in the walkway tunnel,warm wind,sballas
2561,a wildness,blowing through the neighborhood,with the snow,sballas
2562,cold morning,a thin cat slips in,the closing door,sballas
2563,the wrong side of town,a paw print,collects water,sballas
2564,cactus bloom,i decide to forgive,myself,sballas
2565,cold spell,the man at the ballot box,reading nietzsche,sballas
2566,both parents,in his room,snowy evening,sballas
2567,this cold night . . .,a child's hunger embedded,in pixels,sballas
2568,cold winter sky,intertwined branches,of an old beaver lodge,sballas
2569,the reddened snow,six ravens and a coyote,removing the elk,sballas
2570,hard frost,a dumpster's lid,slams shut,sballas
2571,the long sigh,of a pregnant girl,december wind,sballas
2572,frozen solid,two withered leaves,overlap,sballas
2573,snowy field,a small creature's tracks,interrupted by wing prints,sballas
2574,a russian winter??,each book weighs several pounds,on the kitchen scale,sballas
2575,autumn dusk,i wave to a girl,waving to someone else,sballas
2576,first time up this creek,the dragonflies,won?t keep still,sballas
2577,crescent moon,the beaver shreds,a lotus leaf,sballas
2578,moonlit grass,a farmer whistles catfish,to the surface,sballas
2579,our locked gate??,earth stops the falling,leaves,sballas
