,0,1,2,haiku,lang
892,des ronds dans le sable,et puis des ronds dans l'eau,marée basse et puis haute,"des ronds dans le sable
et puis des ronds dans l'eau
marée basse et puis haute",fr
893,late season,christmas lights illuminate,a golden buddha,"late season
christmas lights illuminate
a golden buddha",en
894,fin de saison,les lumières de Noël éclairent,un Bouddha doré ,"fin de saison
les lumières de Noël éclairent
un Bouddha doré ",fr
895,"a hint of blue, still",in the passing of these clouds,— sip of coffee,"a hint of blue, still
in the passing of these clouds
— sip of coffee",en
896,bedtime --,trying not to count,maimed solders,"bedtime --
trying not to count
maimed solders",en
897,au lit --,j'essaie de ne pas compter,les soldats mutilés,"au lit --
j'essaie de ne pas compter
les soldats mutilés",fr
898,indian summer,the viagra stock,deflates,"indian summer
the viagra stock
deflates",en
899,été indien,la réserve de viagra,se dégonfle,"été indien
la réserve de viagra
se dégonfle",fr
900,pregnant again . . .,the fluttering of moths,against the window,"pregnant again . . .
the fluttering of moths
against the window",en
901,enceinte à nouveau . . . ,le battement d'ailes des phalènes,contre la fenêtre ,"enceinte à nouveau . . . 
le battement d'ailes des phalènes
contre la fenêtre ",fr
902,for a moment,the gull in the air,is very white,"for a moment
the gull in the air
is very white",en
903,juste un moment,la mouette dans l'air,fort blanche,"juste un moment
la mouette dans l'air
fort blanche",fr
904,"Fly,",be afraid!,No Buddhists in this house!,"Fly,
be afraid!
No Buddhists in this house!",en
905,"Mouche,",prends peur !,Pas de Bouddhistes dans cette maison !,"Mouche,
prends peur !
Pas de Bouddhistes dans cette maison !",fr
906,spring breeze--,between pages of an old book,a crushed rose,"spring breeze--
between pages of an old book
a crushed rose",en
907,brise de printemps --,entre les pages d'un vieux livre,une rose écrasée,"brise de printemps --
entre les pages d'un vieux livre
une rose écrasée",fr
908,veteran's day,photo of the uncle,I never met,"veteran's day
photo of the uncle
I never met",en
909,jour des vétérans,la photo de l'oncle,que je n'ai jamais rencontré ,"jour des vétérans
la photo de l'oncle
que je n'ai jamais rencontré ",fr
910,the cries,of homecoming geese,louder,"the cries
of homecoming geese
louder",en
911,les cris,des oies de retour,plus forts ,"les cris
des oies de retour
plus forts ",fr
912,pale overcast,the darker shadow,of returning geese ,"pale overcast
the darker shadow
of returning geese ",en
913,my wife,home from hospital,hibiscus in full bloom,"my wife
home from hospital
hibiscus in full bloom",en
914,ma femme,de retour de l'hopital,l'hibiscus en fleurs ,"ma femme
de retour de l'hopital
l'hibiscus en fleurs ",fr
915,My 72nd winter,the deepening cold,in every room ,"My 72nd winter
the deepening cold
in every room ",en
916,72ème hiver,le froid s'installe,dans chaque pièce ,"72ème hiver
le froid s'installe
dans chaque pièce ",fr
917,month-old obit,of an ex-girl friend,unexpected rain,"month-old obit
of an ex-girl friend
unexpected rain",en
918,vieille d'un mois la nécrologie,d'une ex-petite amie,pluie inattendue ,"vieille d'un mois la nécrologie
d'une ex-petite amie
pluie inattendue ",fr
919,back and forth,across our conversation,fireflies,"back and forth
across our conversation
fireflies",en
920,allant et venant,dans notre conversation,les lucioles ,"allant et venant
dans notre conversation
les lucioles ",fr
921,death watch ended,the rain storm,begins,"death watch ended
the rain storm
begins",en
922,la veillée funèbre finie,la tempête de pluie,commence ,"la veillée funèbre finie
la tempête de pluie
commence ",fr
923,my wife,home from the hospital,hibiscus in full bloom,"my wife
home from the hospital
hibiscus in full bloom",en
924,ma femme,de retour de l'hôpital,hibiscus en pleine fleurs ,"ma femme
de retour de l'hôpital
hibiscus en pleine fleurs ",fr
925,at opposite ends,of the reading room,ex-lovers,"at opposite ends
of the reading room
ex-lovers",en
926,aux deux extrêmités,de la salle de lecture,les ex-amants ,"aux deux extrêmités
de la salle de lecture
les ex-amants ",fr
927,despite my assurances,my wife's makeup,thicker,"despite my assurances
my wife's makeup
thicker",en
928,malgré mes assurances,le maquillage de ma femme,plus épais ,"malgré mes assurances
le maquillage de ma femme
plus épais ",fr
929,somewhere,behind the old barn,end of the rainbow,"somewhere
behind the old barn
end of the rainbow",en
930,quelque part,derrière la vieille grange,la fin de l'arc-en-ciel ,"quelque part
derrière la vieille grange
la fin de l'arc-en-ciel ",fr
931,thunderstorms,all day long,broken promises,"thunderstorms
all day long
broken promises",en
932,orages,tout au long du jour,promesses brisées ,"orages
tout au long du jour
promesses brisées ",fr
933,hot chocolate,the scent stronger,this cold night,"hot chocolate
the scent stronger
this cold night",en
934,chocolat chaud,l'odeur plus forte,cette nuit froide ,"chocolat chaud
l'odeur plus forte
cette nuit froide ",fr
935,late night rain,the crickets finally,silent,"late night rain
the crickets finally
silent",en
936,pluie de fin de nuit,les grillons finalement,silencieux,"pluie de fin de nuit
les grillons finalement
silencieux",fr
937,nothing,in our bedroom,but moonlight ,"nothing
in our bedroom
but moonlight ",en
938,rien,dans notre chambre,que le clair de lune,"rien
dans notre chambre
que le clair de lune",fr
939,sunset traffic,slowly down the hill,into darkness,"sunset traffic
slowly down the hill
into darkness",en
940,le trafic du soir,descendant lentement la colline,vers l'obscurité,"le trafic du soir
descendant lentement la colline
vers l'obscurité",fr
941,at the crossroads,no wind to give,a direction,"at the crossroads
no wind to give
a direction",en
942,au carrefour,aucun vent pour indiquer,une direction,"au carrefour
aucun vent pour indiquer
une direction",fr
943,smalltown street,sunset and moonrise,at opposite ends,"smalltown street
sunset and moonrise
at opposite ends",en
944,rue d'une petite ville,coucher de soleil et lever de lune,aux deux extrêmités,"rue d'une petite ville
coucher de soleil et lever de lune
aux deux extrêmités",fr
945,slow afternoon,the rain changes,to drizzle,"slow afternoon
the rain changes
to drizzle",en
946,l'après-midi s'étire,la pluie se change,en bruine,"l'après-midi s'étire
la pluie se change
en bruine",fr
947,home alone,the cold,of an autumn rain ,"home alone
the cold
of an autumn rain ",en
948,seul à la maison,le froid,d'une pluie d'automne,"seul à la maison
le froid
d'une pluie d'automne",fr
949,silent night,the fog thick,at every window,"silent night
the fog thick
at every window",en
950,nuit silencieuse,le brouillard épais,à chaque fenêtre,"nuit silencieuse
le brouillard épais
à chaque fenêtre",fr
951,late night traffic,the swirl of leaves after,the last bus,"late night traffic
the swirl of leaves after
the last bus",en
952,trafic de nuit,le tourbillon des feuilles après,le dernier bus,"trafic de nuit
le tourbillon des feuilles après
le dernier bus",fr
953,deep deep deep cold,the lengthening pauses between,her words,"deep deep deep cold
the lengthening pauses between
her words",nl
954,(froid de plus en plus intense,les pauses qui s'allongent entre,ses mots),"(froid de plus en plus intense
les pauses qui s'allongent entre
ses mots)",fr
955,while making love,the last icicle,falls,"while making love
the last icicle
falls",en
956,pendant que nous faisons l'amour,la dernière chandelle de glace,tombe,"pendant que nous faisons l'amour
la dernière chandelle de glace
tombe",fr
957,bad news from home,the cold morning,colder still,"bad news from home
the cold morning
colder still",en
958,mauvaises nouvelles de la maison,le matin froid,plus froid encore,"mauvaises nouvelles de la maison
le matin froid
plus froid encore",fr
959,voices,in the cemetery,remembrance day,"voices
in the cemetery
remembrance day",en
960,des voix,dans le cimetière,jour de souvenir,"des voix
dans le cimetière
jour de souvenir",fr
961,after the argument,the storm clouds also,break up,"after the argument
the storm clouds also
break up",en
962,après la dispute,les nuages d'orage aussi,se dispersent,"après la dispute
les nuages d'orage aussi
se dispersent",fr
963,pouring rain,yet another question,without an answer,"pouring rain
yet another question
without an answer",en
964,pluie battante,une autre question,sans réponse,"pluie battante
une autre question
sans réponse",fr
965,graveside sermon ended,the last leaves blown from,a nearby tree,"graveside sermon ended
the last leaves blown from
a nearby tree",en
966,le sermon sur la tombe est fini,la dernière feuille tombe,d'un arbre voisin,"le sermon sur la tombe est fini
la dernière feuille tombe
d'un arbre voisin",fr
967,63 today,nothing from here to the horizon,but fair weather clouds,"63 today
nothing from here to the horizon
but fair weather clouds",en
968,63 aujourd'hui,d'ici à l'horizon rien sauf,que les nuages de beau temps,"63 aujourd'hui
d'ici à l'horizon rien sauf
que les nuages de beau temps",fr
969,start of a new season,a book loaned,to a new friend,"start of a new season
a book loaned
to a new friend",en
970,début d'une nouvelle saison,un livre emprunté,à un nouvel ami,"début d'une nouvelle saison
un livre emprunté
à un nouvel ami",fr
972,right after,morning prayers,distant thunder,"right after
morning prayers
distant thunder",en
973,juste après,les prières du matin,tonnerre lointain,"juste après
les prières du matin
tonnerre lointain",fr
974,mountain storm,somewhere during its echo,the thunder ends,"mountain storm
somewhere during its echo
the thunder ends",en
975,orage en montagne,quelque part pendant son écho,le tonnerre se finit,"orage en montagne
quelque part pendant son écho
le tonnerre se finit",fr
976,60 today,the full moon,still rising,"60 today
the full moon
still rising",en
977,60 ans aujourd'hui,la pleine lune,encore montante,"60 ans aujourd'hui
la pleine lune
encore montante",fr
978,somewhere,in the graveyard,birdsong,"somewhere
in the graveyard
birdsong",en
979,quelque part,dans le cimetière,un chant d'oiseau,"quelque part
dans le cimetière
un chant d'oiseau",fr
980,also,in the fog,the scent of autumn,"also
in the fog
the scent of autumn",en
981,aussi,dans le brouillard,le parfum de l'automne,"aussi
dans le brouillard
le parfum de l'automne",fr
982,cold dark night,the warmth of her hand,in mine,"cold dark night
the warmth of her hand
in mine",en
983,nuit froide et noire,la chaleur de sa main,dans la mienne,"nuit froide et noire
la chaleur de sa main
dans la mienne",fr
984,snow and rain mixed,my angry words,and her tears,"snow and rain mixed
my angry words
and her tears",en
985,pluie et neige mêlée,mes mots de colère,et ses pleurs,"pluie et neige mêlée
mes mots de colère
et ses pleurs",fr
986,death,of an old friend,my cup empty,"death
of an old friend
my cup empty",en
987,la mort,d'un vieil ami,ma tasse vide,"la mort
d'un vieil ami
ma tasse vide",it
988,behind the man,in the open doorway,nothing but darkness,"behind the man
in the open doorway
nothing but darkness",en
989,derrière l'homme,dans la porte ouverte,rien d'autre que l'obscurité,"derrière l'homme
dans la porte ouverte
rien d'autre que l'obscurité",fr
990,the gap,between the mountains,filled with fog,"the gap
between the mountains
filled with fog",en
991,le trou,entre les montagnes,rempli de brouillard,"le trou
entre les montagnes
rempli de brouillard",fr
992,grain silos,long shadows,on fresh snow,"grain silos
long shadows
on fresh snow",en
993,silos à grains,des longues ombres,sur la neige fraîche ,"silos à grains
des longues ombres
sur la neige fraîche ",fr
994,dew,on a green tent,coffee perking,"dew
on a green tent
coffee perking",nl
995,rosée,sur une tente verte,le café qui se fait ,"rosée
sur une tente verte
le café qui se fait ",fr
996,rusted wire,on a weatherworn post,wisps of gray fur ,"rusted wire
on a weatherworn post
wisps of gray fur ",en
997,backyard BBQ,at the end of his rope,a barking dog ,"backyard BBQ
at the end of his rope
a barking dog ",en
998,remembering summer,how brittle the leaves,underfoot,"remembering summer
how brittle the leaves
underfoot",en
999,je me rappelle l'été,commme les feuilles crissent,sous les pas,"je me rappelle l'été
commme les feuilles crissent
sous les pas",fr
1000,summer rain,the smell of earth,in the air,"summer rain
the smell of earth
in the air",en
1001,pluie d'été,l'odeur de terre,dans l'air,"pluie d'été
l'odeur de terre
dans l'air",fr
1002,watching clouds,the white petals,of a crushed crocus,"watching clouds
the white petals
of a crushed crocus",en
1003,je regarde les nuages,les pétales blancs,d'un crocus écrasé,"je regarde les nuages
les pétales blancs
d'un crocus écrasé",fr
1004,smells of spring,adrift in the morning air,bubbles under ice,"smells of spring
adrift in the morning air
bubbles under ice",en
1005,des odeurs de printemps,glissent dans l'air du matin,bulles sous la glace,"des odeurs de printemps
glissent dans l'air du matin
bulles sous la glace",fr
1006,after the rain,moon and stars,underfoot,"after the rain
moon and stars
underfoot",en
1007,après la pluie,la lune et les étoiles,sous les pieds,"après la pluie
la lune et les étoiles
sous les pieds",fr
1008,reflet dans la vitre,de son visage en pleurs -,bruit sourd de la pluie ,"reflet dans la vitre
de son visage en pleurs -
bruit sourd de la pluie ",fr
1009,à la fin du jour,l'ombre du chêne traverse,la rue du village ,"à la fin du jour
l'ombre du chêne traverse
la rue du village ",fr
1010,un  busard perché,sur les fils téléphoniques -,the big brother,"un  busard perché
sur les fils téléphoniques -
the big brother",fr
1011,coupe de cheveux -,les seins doux de la coiffeuse,contre mon épaule,"coupe de cheveux -
les seins doux de la coiffeuse
contre mon épaule",fr
1012,le premier de l'an -,tout comme hier le geai bleu,fait tout un raffut,"le premier de l'an -
tout comme hier le geai bleu
fait tout un raffut",fr
1013,dîner au McDo,un homme obèse attablé -,le jour à sa fin,"dîner au McDo
un homme obèse attablé -
le jour à sa fin",fr
1014,posées sur Le Monde,les lunettes à l'envers -,quelle fatigue! ,"posées sur Le Monde
les lunettes à l'envers -
quelle fatigue! ",fr
1015,Thanksgiving Day,délicat fumet de dinde -,ciel roussi d'Irak,"Thanksgiving Day
délicat fumet de dinde -
ciel roussi d'Irak",fr
1016,sortant du métro,face à face avec la lune -,retour du boulot ,"sortant du métro
face à face avec la lune -
retour du boulot ",fr
1017,la pleine lune,au-dessus du gratte-ciel -,il est minuit,"la pleine lune
au-dessus du gratte-ciel -
il est minuit",fr
1018,à la Toussaint,les trompettes de la mort -,cinq ou six,"à la Toussaint
les trompettes de la mort -
cinq ou six",fr
1019,Jour d'action de grâce -,récoltes généreuses,achetées à vil prix,"Jour d'action de grâce -
récoltes généreuses
achetées à vil prix",fr
1020,le soleil levant -,dans la vitre givrée,un amas d'étoiles,"le soleil levant -
dans la vitre givrée
un amas d'étoiles",fr
1021,70 mph,the infant snores,a bit slower,"70 mph
the infant snores
a bit slower",en
1022,(70 mph,le nouveau-né renifle,un peu plus lentement),"(70 mph
le nouveau-né renifle
un peu plus lentement)",fr
1023,winter night,finding my pajama bottoms,on my wife,"winter night
finding my pajama bottoms
on my wife",en
1024,nuit d'hiver,je trouve mon bas de pyjama,sur ma femme,"nuit d'hiver
je trouve mon bas de pyjama
sur ma femme",fr
1025,putting a cork,in last night's wine,late autumn,"putting a cork
in last night's wine
late autumn",en
1026,mettre un bouchon,sur le vin de la nuit dernière,fin d'automne,"mettre un bouchon
sur le vin de la nuit dernière
fin d'automne",fr
1027,the glass jar,full of fireflies,bedtime,"the glass jar
full of fireflies
bedtime",en
1028,la cruche en verre,pleine de lucioles,l'heure du coucher,"la cruche en verre
pleine de lucioles
l'heure du coucher",fr
1029,evening sky,counting some fireflies,more than once,"evening sky
counting some fireflies
more than once",en
1030,ciel du soir,compter quelques lucioles,plus d'une fois,"ciel du soir
compter quelques lucioles
plus d'une fois",fr
1031,smell of rain -,soft ridges of mint leaves,oil my fingers,"smell of rain -
soft ridges of mint leaves
oil my fingers",en
1032,odeur de pluie -,les douces nervures des feuilles de menthe,huilent mes doigts,"odeur de pluie -
les douces nervures des feuilles de menthe
huilent mes doigts",fr
1033,blackbird song -,the name of a daughter,i'll never know,"blackbird song -
the name of a daughter
i'll never know",en
1034,chant du merle -,le nom d'une fille,que je ne connaîtrai jamais ,"chant du merle -
le nom d'une fille
que je ne connaîtrai jamais ",fr
1035,November fog;,not a tree,to be seen.,"November fog;
not a tree
to be seen.",en
1036,Brouillard de Novembre;,pas un arbre,à voir.,"Brouillard de Novembre;
pas un arbre
à voir.",fr
1037,Purple loosestrife;,pale in the,lingering mist.,"Purple loosestrife;
pale in the
lingering mist.",en
1038,A cold morning;,the pink of tulips,through the mist.,"A cold morning;
the pink of tulips
through the mist.",en
1039,Un matin froid;,le rose des tulipes,à travers la brume.,"Un matin froid;
le rose des tulipes
à travers la brume.",fr
1040,Harvest moon,dancing with my husband,in the living room,"Harvest moon
dancing with my husband
in the living room",en
1041,Lune des moissons,je danse avec mon mari,dans le séjour ,"Lune des moissons
je danse avec mon mari
dans le séjour ",fr
1042,a movement of deer,into twilight,suddenly spring,"a movement of deer
into twilight
suddenly spring",en
1043,un mouvement du cerf,dans le crépuscule,soudain le printemps,"un mouvement du cerf
dans le crépuscule
soudain le printemps",fr
1044,fireflies competing,with a full moon,summer solstice,"fireflies competing
with a full moon
summer solstice",en
1045,les lucioles rivalisent,avec la pleine lune,solstice d'été,"les lucioles rivalisent
avec la pleine lune
solstice d'été",fr
1046,the way grass parts,as the pheasant passes,spring's end,"the way grass parts
as the pheasant passes
spring's end",en
1047,la façon dont les herbes s'écartent,comme le faisan passe,fin de l'été,"la façon dont les herbes s'écartent
comme le faisan passe
fin de l'été",fr
1048,moonlessness--,so many ways,I want to touch you,"moonlessness--
so many ways
I want to touch you",en
1049,privée de lune --,de tant de façons,je veux te toucher,"privée de lune --
de tant de façons
je veux te toucher",fr
1050,earth day--,even the shadows at dusk,smell green,"earth day--
even the shadows at dusk
smell green",en
1051,jour de la terre --,même les ombres au crépuscule,sentent le vert,"jour de la terre --
même les ombres au crépuscule
sentent le vert",fr
1052,fading,right before my eyes,morning moon,"fading
right before my eyes
morning moon",en
1053,pâlissant,juste devant mes yeux,lune du matin,"pâlissant
juste devant mes yeux
lune du matin",fr
1054,light rain,"on sweet, sweet clover",late summer's dusk,"light rain
on sweet, sweet clover
late summer's dusk",en
1055,winter rain,the confusion in her voice,all over again,"winter rain
the confusion in her voice
all over again",en
1056,pluie d'hiver,la confusion dans sa voix,tout est fini à nouveau,"pluie d'hiver
la confusion dans sa voix
tout est fini à nouveau",fr
1057,morning moon,filling up my window,autumn's end,"morning moon
filling up my window
autumn's end",en
1058,lune du matin,emplissant ma fenêtre,fin d'automne,"lune du matin
emplissant ma fenêtre
fin d'automne",fr
1059,summer's end,the tenderness,of light,"summer's end
the tenderness
of light",en
1060,fin de l'été,la fragilité,de la lumière,"fin de l'été
la fragilité
de la lumière",fr
1061,after loving-making,scent of wild clover,through the window,"after loving-making
scent of wild clover
through the window",en
1062,après l'amour,l'odeur du trèfle sauvage,par la fenêtre,"après l'amour
l'odeur du trèfle sauvage
par la fenêtre",fr
1063,after the dream,the scent of approaching rain,in the dusty air,"after the dream
the scent of approaching rain
in the dusty air",en
1064,après le rêve,l'odeur de la pluie qui approche,dans l'air poussièreux,"après le rêve
l'odeur de la pluie qui approche
dans l'air poussièreux",fr
1065,park bench,she puts acorns,in his ears,"park bench
she puts acorns
in his ears",en
1066,(banc du parc,elle lui met des glands,dans les oreilles) ,"(banc du parc
elle lui met des glands
dans les oreilles) ",fr
1067,supermarket,on a Sunday morning,Stairway to Heaven ,"supermarket
on a Sunday morning
Stairway to Heaven ",en
1068,roadside,a strip of painkillers,empty,"roadside
a strip of painkillers
empty",en
1069,bord de route,une tablette d'analgésiques,vide ,"bord de route
une tablette d'analgésiques
vide ",fr
1070,before the bridal party,unfashionably early,rain arrives ,"before the bridal party
unfashionably early
rain arrives ",en
1071,a crack,in the pavement,yellow freesias,"a crack
in the pavement
yellow freesias",en
1072,une fente,dans le trottoir,des freesias jaunes ,"une fente
dans le trottoir
des freesias jaunes ",fr
1073,piece,of a butterfly wing –,autumn chill,"piece
of a butterfly wing –
autumn chill",en
1074,un morceau,d'aile de papillon –,froid de l'automne ,"un morceau
d'aile de papillon –
froid de l'automne ",fr
1075,a crow,on the wire,silent rain,"a crow
on the wire
silent rain",en
1076,un corbeau,sur le fil,pluie silencieuse ,"un corbeau
sur le fil
pluie silencieuse ",fr
1077,old park bench,i touch our initials,each time i pass,"old park bench
i touch our initials
each time i pass",en
1078,vieux banc du parc,je touche nos initiales,chaque fois que je passe,"vieux banc du parc
je touche nos initiales
chaque fois que je passe",fr
1079,new housing--,hammer and saw replace,the dove's coo,"new housing--
hammer and saw replace
the dove's coo",en
1080,emménagement --,le marteau et la scie remplacent,le roucoulement de la colombe,"emménagement --
le marteau et la scie remplacent
le roucoulement de la colombe",fr
1081,christmas services,a cellular phone rings out,handel's messiah,"christmas services
a cellular phone rings out
handel's messiah",en
1082,messe de Noël,un mobile sonne,le messie de Haendel,"messe de Noël
un mobile sonne
le messie de Haendel",fr
1083,no island,in the bay today,morning fog,"no island
in the bay today
morning fog",en
1084,pas d'île,dans la baie aujourd'hui,brouillard au matin,"pas d'île
dans la baie aujourd'hui
brouillard au matin",fr
1085,stop sign,thru the bullet holes,ghetto moon,"stop sign
thru the bullet holes
ghetto moon",en
1086,signal stop,à travers les trous des balles,lune du ghetto,"signal stop
à travers les trous des balles
lune du ghetto",fr
1087,desert garden,frosted lettuce leaves,in the pink dawn,"desert garden
frosted lettuce leaves
in the pink dawn",en
1088,jardin de désert,les feuilles de laitue gelées,dans l'aube rose,"jardin de désert
les feuilles de laitue gelées
dans l'aube rose",fr
1089,iceman,last night's freeze on,the clothesline ,"iceman
last night's freeze on
the clothesline ",en
1090,winter rain ,the sheets where she slept ,grow colder,"winter rain 
the sheets where she slept 
grow colder",en
1091,pluie d'hiver,les draps où elle dort,deviennent froids ,"pluie d'hiver
les draps où elle dort
deviennent froids ",fr
1092,desert sand. . .,my sleeping bag under,a full moon,"desert sand. . .
my sleeping bag under
a full moon",no
1093,sable du désert. . .,mon sac de couchage sous,la pleine lune ,"sable du désert. . .
mon sac de couchage sous
la pleine lune ",fr
1094,giant moon. . .,the bark of a dog echos,over the fence,"giant moon. . .
the bark of a dog echos
over the fence",en
1095,lune géante . . . ,l'aboiement d'un chien fait écho,par-dessus la clôture ,"lune géante . . . 
l'aboiement d'un chien fait écho
par-dessus la clôture ",fr
1096,crystalline sky,the pioneers left no clue,which trail to take,"crystalline sky
the pioneers left no clue
which trail to take",en
1097,ciel cristallin,les pionniers n'ont laissé aucun indice,sur la piste à prendre ,"ciel cristallin
les pionniers n'ont laissé aucun indice
sur la piste à prendre ",fr
1098,willow scent,a kingfisher hangs,in the air,"willow scent
a kingfisher hangs
in the air",en
1099,odeur de saule,un martin-pêcheur suspendu,dans l'air,"odeur de saule
un martin-pêcheur suspendu
dans l'air",fr
1100,desert heat-,smiles along the narrow road,to the deep north,"desert heat-
smiles along the narrow road
to the deep north",en
1101,chaleur du désert -,sourires au long de la route étroite,vers le nord profond,"chaleur du désert -
sourires au long de la route étroite
vers le nord profond",fr
1102,spring trek,a rusted snowplow,at roads' end,"spring trek
a rusted snowplow
at roads' end",en
1103,sweet basil,dried snail tracks crisscross,the window box,"sweet basil
dried snail tracks crisscross
the window box",en
1104,Arizona,"road stop rest, the dog sniffs",yellow snow,"Arizona
road stop rest, the dog sniffs
yellow snow",en
1105,Arizona,"pause en bord de route, le chien sniffe",de la neige jaune,"Arizona
pause en bord de route, le chien sniffe
de la neige jaune",fr
1106,a moth flutters,over the candle flame . . .,damned idiot,"a moth flutters
over the candle flame . . .
damned idiot",en
1107,un papillon de nuit volète,sur la flamme de la bougie . . . ,damné idiot,"un papillon de nuit volète
sur la flamme de la bougie . . . 
damné idiot",fr
1108,still water . . .,the undercurrent,in her voice,"still water . . .
the undercurrent
in her voice",en
1109,eau calme . . . ,le sous-entendu,dans sa voix,"eau calme . . . 
le sous-entendu
dans sa voix",fr
1110,November winds,the dog finds dead birds,in the hedge,"November winds
the dog finds dead birds
in the hedge",en
1111,vents de novembre,le chien trouve des oiseaux morts,dans la haie,"vents de novembre
le chien trouve des oiseaux morts
dans la haie",fr
1112,desert cemetery-,my sister in law,does not weep,"desert cemetery-
my sister in law
does not weep",nl
1113,cimetière du désert --,ma belle-soeur,ne pleure pas,"cimetière du désert --
ma belle-soeur
ne pleure pas",fr
1114,summer ends-,her freckles pale,in dark tan,"summer ends-
her freckles pale
in dark tan",da
1115,l'été se termine --,ses taches de rousseur pâles,sur le bronzage sombre,"l'été se termine --
ses taches de rousseur pâles
sur le bronzage sombre",fr
1116,highway fog-,the honking of geese,homeward bound,"highway fog-
the honking of geese
homeward bound",en
1117,brouillard sur l'autoroute --,le klaxonnement des oies,de retour,"brouillard sur l'autoroute --
le klaxonnement des oies
de retour",fr
1118,desert wind-,iron and copper flavor,in my coffee,"desert wind-
iron and copper flavor
in my coffee",en
1119,vent du désert --,un goût de de fer et de cuivre,dans mon café,"vent du désert --
un goût de de fer et de cuivre
dans mon café",fr
1120,spring day-,the wall clock,still winter,"spring day-
the wall clock
still winter",en
1121,jour de printemps --,l'horloge murale,encore en hiver,"jour de printemps --
l'horloge murale
encore en hiver",fr
1122,appalachian spring-,carbide carbuncles,in the coal oil light,"appalachian spring-
carbide carbuncles
in the coal oil light",en
1123,printemps appalachien --,les escarboucles de carbone,dans la lumière du kerosene,"printemps appalachien --
les escarboucles de carbone
dans la lumière du kerosene",fr
1124,moon hare-,bloody gloves lay,on the ice,"moon hare-
bloody gloves lay
on the ice",en
1125,lune du lièvre --,des gants ensanglantés,sur la glace,"lune du lièvre --
des gants ensanglantés
sur la glace",fr
1126,frosty dawn-,the dog watches me,pack my bag,"frosty dawn-
the dog watches me
pack my bag",en
1127,aube glaciale --,le chien me regarde,faire mon sac,"aube glaciale --
le chien me regarde
faire mon sac",fr
1128,campfire coffee. . .,condor wings glean,the first rays of sun,"campfire coffee. . .
condor wings glean
the first rays of sun",en
1129,café de feu de camp . . .,les ailes du condor glanent,les premiers rayons du soleil,"café de feu de camp . . .
les ailes du condor glanent
les premiers rayons du soleil",fr
1130,arctic air,soothes the desert heat . . .,blended whiskey,"arctic air
soothes the desert heat . . .
blended whiskey",en
1131,l'air arctique,apaise la chaleur du désert . . .,blended whisky,"l'air arctique
apaise la chaleur du désert . . .
blended whisky",fr
1132,slate skys,chalk mark outlines,on the sidewalk,"slate skys
chalk mark outlines
on the sidewalk",en
1133,ciels d'ardoise,des traits à la craie,sur le trottoir,"ciels d'ardoise
des traits à la craie
sur le trottoir",fr
1134,peach moon . . .,the thin slice left,for us,"peach moon . . .
the thin slice left
for us",en
1135,lune couleur pêche...,la mince tranche restante,pour nous,"lune couleur pêche...
la mince tranche restante
pour nous",fr
1136,grassy moon,we slip off our shoes,to count the stars,"grassy moon
we slip off our shoes
to count the stars",en
1137,lune herbeuse,nous retirons nos chaussures,pour compter les étoiles,"lune herbeuse
nous retirons nos chaussures
pour compter les étoiles",fr
1138,garden embrace,the fresh smell of her,sun dried laundry,"garden embrace
the fresh smell of her
sun dried laundry",en
1139,embrassade au jardin,l'odeur fraiche de,son linge sèché au soleil,"embrassade au jardin
l'odeur fraiche de
son linge sèché au soleil",fr
1140,kitchen embrace,the smell of her hot,apple pie,"kitchen embrace
the smell of her hot
apple pie",en
1141,embrassade dans la cuisine,l'odeur de sa chaude,tarte aux pommes,"embrassade dans la cuisine
l'odeur de sa chaude
tarte aux pommes",fr
1142,farewell embrace,a faint essence,of mothballs,"farewell embrace
a faint essence
of mothballs",en
1143,embrassade d'au revoir,l'essence lègère,des boules de naphtaline,"embrassade d'au revoir
l'essence lègère
des boules de naphtaline",fr
1144,montana morning,the horses with their backs,to blowing snow,"montana morning
the horses with their backs
to blowing snow",en
1145,(le Montana au matin,les chevaux avec leurs dos,tournés vers la neige qui souffle),"(le Montana au matin
les chevaux avec leurs dos
tournés vers la neige qui souffle)",fr
1146,street light sway ~,dreams of her linger,with the storm,"street light sway ~
dreams of her linger
with the storm",en
1147,lumière de la rue oscillante ~,ses rêves s'attardent,avec la tempête,"lumière de la rue oscillante ~
ses rêves s'attardent
avec la tempête",fr
1148,Sack of cheeries ~,clouds grow dark on the road,to the coast,"Sack of cheeries ~
clouds grow dark on the road
to the coast",en
1149,Sac de cerises ~,les nuages virent au noir sur la route,de la côte,"Sac de cerises ~
les nuages virent au noir sur la route
de la côte",fr
1150,salmon sunrise,a splash resounds over,the calm bay,"salmon sunrise
a splash resounds over
the calm bay",en
1151,lever de soleil saumon,une éclaboussure (retentit) sur,la baie calme,"lever de soleil saumon
une éclaboussure (retentit) sur
la baie calme",fr
1152,farmer's market,she paints a flower,on a child's cheek,"farmer's market
she paints a flower
on a child's cheek",en
1153,(marché à la campagne,elle peint une fleur,sur une joue d'enfant),"(marché à la campagne
elle peint une fleur
sur une joue d'enfant)",fr
1154,tandem bicycle,wind in our hair,a shared laugh,"tandem bicycle
wind in our hair
a shared laugh",en
1155,tandem,vent dans nos cheveux,un rire partagé,"tandem
vent dans nos cheveux
un rire partagé",fr
1156,misty morning,echoes of blue jay cries,through the pines,"misty morning
echoes of blue jay cries
through the pines",en
